Sample	Sep2016_L442_13m	Sep2016_L373_20m	Sep2016_L224_25m	Sep2017_L227_03m	Jun2016_L442_15m	Sep2017_L227_08m	Sep2016_L227_08m	Jun2016_L442_17m	Jun2016_L239_10m	Sep2016_L222_05m	Jun2016_L227_10m	Jun2016_L221_05m	Jul2014_L442_13m	Sep2016_L442_09m	Jun2016_L224_25m	Jul2018_L111_30m	Jun2016_L442_12m	Sep2016_L442_15m	Jun2016_L227_06m	Sep2016_L224_21m	Sep2016_L442_17m	Sep2016_L227_10m	Sep2016_L239_10m	Jun2016_L304_06m	Jul2018_L239_20m	Sep2016_L239_20m	Sep2016_L626_11m	Sep2016_L227_06m	Jul2018_L221_05m	Jun2016_L442_09m	Jun2016_L222_05m	Sep2017_L227_01m	Jun2016_L239_20m	Jun2016_L626_11m	Jun2013_L227_06m	Jun2016_L227_08m	Jun2011_L442_16_5m	Sep2017_L227_10m	Jul2018_L304_06m	Sep2017_L227_04m	Jul2014_L227_06m	Jul2014_L227_08m	Jun2013_L227_08m	Sep2017_L227_06m
MAG001	28768	216716	104245	0	41884	296	2723	63205	4	10553	1168	1851	3240	96	5771	112	540	54850	692	27459	54897	2655	6	1400	10	10	22907	1231	94	52	245	0	66	262	87	1326	6219	289	329	492	132	153	77	566
MAG002	26533	6209	4405	3992	74296	21900	86657	11379	2900	3081	31976	306	12277	156735	7087	91	32250	84690	95506	13594	52103	62130	8395	725	7191	12182	5523	176146	516	23346	2214	608	7210	2425	28236	41504	10853	21185	400	369522	23064	14331	17514	69826
MAG003	124	1344	933	6	177	110	160	118	0	254	47	763	109	46	1724	336	87	88	579	2493	84	94	22	676	16	12	50	174	2117	29	16	4	38	6	653	70	106	63	91894	561	660	198	201	551
MAG004	2245	1301	608	558	730	312	292	1615	0	652	122	579	8814	409	124	18	288	817	4104	3713	710	182	0	1053	6	0	14736	554	278	6	20	26	6	24	360091	249	5700	188	508	31177	1786	133	3204	1724
MAG005	49281	31113	66186	4	6228	295	457	29633	42	27610	333	24	66083	702	17295	679	15198	46078	100	71998	37983	290	790	2013	6022	202	52	180	20	3718	17850	0	406	153	2005	380	162360	339	3549	20	456	364	1492	241
MAG006	3244	1602	58	0	2707	54	119	4084	0	84198	54	122	3723	12	4	4	66	2585	56	94	2088	110	0	20	0	2	8	78	6	2	48	0	2	4	16	84	2422	42	63	11	52	34	26	40
MAG007	508	0	215	0	212	18363	7208	1872	0	4	6782	0	12	2	144	6796	10	496	716	64	440	6481	0	2	0	0	0	741	0	4	2	0	0	0	5928	11931	182	26850	2	28	4210	33853	15189	794
MAG008	684	111	477	2	123	5745	25472	3208	0	191	38906	100	908	10	266	7518	26	809	12071	148	673	32533	0	109	0	1	425	18101	71	42	53	2	17	15	34749	45688	1789	16194	82	211	46595	44427	72025	2013
MAG009	124	16	174	12	2	45477	5086	50	0	44	1078	474	16	0	16	26	0	73	26	26	76	3211	0	57	0	0	10	185	230	0	0	0	0	8	1620	1226	16	37850	220	470	1018	4442	4933	1415
MAG010	44062	37719	1247	0	706	316	949	6058	20	2353	426	293	139354	42	812	4741	229	46322	160	281	57904	812	8	104	107	46	42	440	145	35	192	0	82	16	749	562	63074	294	159	18	1044	582	473	184
MAG011	4566	13426	211	10	9183	194	590	5580	5464	53	284	29	174	26593	228	51	5438	3437	1322	177	3812	424	14604	350	2252	14993	140	311	3	18116	372	0	51748	460	4	763	30	135	0	119	4407	2432	8	217
MAG012	919	36	145	0	64	416	987	1527	0	143	448	19	1407	7	49	3	9	793	29	19	834	715	5	41	1	12	24	113	22	5	0	0	6	2	7444	383	1976	445	137	8	13037	51469	29511	90
MAG013	784782	21404	4806	2	139725	2602	4109	71901	0	793	1998	581	688	875	205	161	571	925647	982	2679	687005	3426	11	1485	6	10	506	4747	545	64	52	0	187	98	8	2991	181	3283	512	195	300	140	124	1643
MAG014	219	49	16	0	360	8	145	244	0	16	150	267806	0	4	14	18	6	225	196	4	355	124	0	18769	14	0	238	240	1146442	6	14	0	2	0	28	415	10	12	26142	348	88	24	36	78
MAG015	706	540	523	96	1016	12	46	522	31188	446	14	263	592	2525	784	18	942	1019	118	653	934	34	55527	385	41186	123077	276	27	54	700	771	114	38422	182	50	28	724	7	55	47	15	6	6	112
MAG016	82	6	100	0	2	4406	123666	26	0	0	1024	10	4	8	0	0	0	106	64	24	151	98507	0	8	0	0	0	12388	4	0	0	0	6	2	2774	1497	7	7312	2	62	10064	13286	10286	206
MAG017	4	4	8	4	6	12	8	4	0	16	16	1700	2	4	20	12	0	0	0	6	0	6	0	146	4	0	0	16	216813	0	24	0	0	0	100	28	8	4	5715	22	12	18	68	26
MAG018	40247	31028	58	0	19305	5	22	15518	28	3805	8	48	45860	29279	91	1084	160650	16485	19	155	8955	12	258	880	64	206	2	10	18	26200	64	0	382	1	52	16	54222	3	190	2	30	34	38	19
MAG019	58583	2617	193	6	168284	14600	72943	146554	100	618	97681	190	2439	776	59	10368	1142	99944	8118	110	52893	107859	706	329	979	2489	18	15619	129	263	88	0	1502	7	302	94571	1569	22723	622	289	297	3405	8650	2648
MAG020	98580	102571	55423	667	277375	483	3659	42306	22210	38239	1287	2247	4217	729054	87563	674	191920	325173	4027	289698	191662	2790	82773	1379	43973	131549	133228	7015	14365	116721	26229	333	87728	53269	1172	1842	20495	486	612	6917	1135	603	731	1478
MAG021	2049	4216	356	20	2259	0	24	2796	32735	1946	2	67	86	6066	867	10	3015	2259	33	961	2015	6	162587	17	47677	135460	176	10	24	16187	3740	10	50308	206	12	19	491	9	18	20	10	4	0	7
MAG022	41	156	63	156655	29	44	103	48	0	28	84	61	9	96	36	0	15	39	54	38	64	130	21	16	1244	27	25	88	15	64	14	197145	16	42	14	59	14	59	10	686	23	22	18	274
MAG023	3402	138252	1345	4	1752	356	783	3247	706	488	539	343	513	23505	216	39	190	3313	345	1320	4339	1046	8902	341	261	2289	273	447	13	70	79	12	207	10	195	555	993	416	110	128	381	200	370	108
MAG024	1284	142	228	72473	1238	168	1358	891	121	1947	777	2989	86	6928	809	0	2157	1195	702	477	1435	1204	192	68	586	101	2262	431	29	3579	4704	44494	100	5349	4730	1181	174	176	16	451	3051	1929	4451	256
MAG025	2136	22	20	0	30	6	27	76	0	14	10	10	4	13660	10	2	942	562	60	20	536	14	0	2	0	0	118947	14	4	830	2	0	0	1171	28	18	6	6	0	28	2	2	10	34
MAG026	7	2	0	0	2	35	102	11	0	238	64	180	4	6	3	0	2	12	12	0	21	102	0	970	0	0	157	29	123	5	138	0	2	116	15	79	94	3	37895	25	37	6	6	71
MAG027	68236	40916	10911	8	933	202	1644	3124	0	13973	540	950	50372	41	399	571	83	65173	639	3771	48816	1205	6	986	14	8	717	1103	665	8	90	0	9	54	453	783	3222	179	793	712	1758	863	425	677
MAG028	378	298	304	817890	91	762	488	200	184	908	308	808	226	192	148	0	138	324	1638	584	286	420	115	802	7082	80	744	748	92	184	254	1165901	117	162	442	484	348	770	198	31417	426	232	120	4111
MAG029	73	52	164	44	43	27164	729	101	316	9658	252	86	72	92	652	430	42	80	120	74	114	412	1250	24	486	732	33	192	784	54	20850	22	482	6	1644	420	110	19490	3828	3812	1486	829	933	61186
MAG030	186	118	84	38471	54	202	173	34	1084	164	53	312	4	635	94	10	237	104	199	192	96	134	4471	10	1910	5908	716	138	116	1044	577	9249	5011	149	54	87	6	190	4	3255	71	29	56	420
MAG031	72658	109352	220971	14773	145481	74965	38905	42970	5888	1189	31986	20062	2235	252262	400432	399	98122	114507	62724	220635	87266	32374	16619	54259	3317	16962	35090	54996	2764	44298	7196	705	14482	17288	12443	47726	3080	53529	23930	93971	9740	8822	13608	90760
MAG032	5634	19160	5687	15	6493	1358	9274	8057	5	209044	4433	3813	1415	135	362	136	269	9785	2945	1828	12028	8721	43	1136	257	242	4265	4295	1345	43	821	4	324	56	1296	5268	1555	1264	1191	2139	1069	997	867	2698
MAG033	50384	23704	23715	2	173026	3	15	89476	2164	15113	18	104	7634	70291	137495	172	45737	60217	7	53419	59611	5	13361	3	28528	24778	50739	19	4	28521	35491	0	12155	5158	3	16	14211	2	1	4	7	2	6	4
MAG034	23360	10674	5586	2	27343	0	2	8782	1332	5	0	43	22	724332	610	8	91713	27067	2	5918	27499	0	33809	4	13706	152788	62	2	0	31389	24	0	19106	20	0	4	1632	0	7	1	0	0	2	1
MAG035	1888	759	22866	4	93	11197	160960	759	0	28887	57504	1891	346	56	844	45	32	1091	11739	6498	1076	118171	0	3736	0	0	282	94693	34	60	202	0	62	130	100	93112	15044	12799	732	4841	5900	2432	97	4741
MAG036	19	6	4	0	10	118	100	94	0	2	68	8	22	0	12	157365	0	28	8	4	26	96	2	10	4	4	6	12	4	0	6	0	0	2	36	60	101	118	50	4	32	66	72	8
MAG037	29197	38202	17879	7	17215	37	323	24588	328	386	161	550	92938	14449	52428	401	138117	18602	446	36740	9854	240	484	279	830	468	352	377	292	16268	313	0	1131	105	441	280	42996	24	182	155	539	165	150	456
MAG038	17904	1171	11540	10052	25688	138	1636	16210	832	6036	1416	2	2299	150422	30515	36	16486	16296	2118	20504	18628	1340	1037	0	244	904	10256	868	0	57642	21320	2915	745	150006	4270	2156	3522	96	0	1915	839	627	971	583
MAG039	0	0	0	3655	4	7769	5677	0	0	1166	1613	930	2	2	0	0	6	0	8357	0	2	3149	6	10	28	0	9507	10988	78	0	36	2868	6	196	214	3643	896	11774	6	99111	150	30	88	95984
MAG040	929	377	1766	30	16	18884	7022	476	0	2120	2493	11532	1005	27	124	14	5	653	2153	284	1049	3592	11	40155	77	6	5538	2879	18810	19	146	4	16	16	3899	3391	482	10578	578183	6447	33167	15495	15022	31865
MAG041	1106	50	3541	16	356	6	11	2077	74	89	2	311	301	1147	12631	402	1924	677	11	9513	607	2	68977	94	128	4956	23	30	11	704	121	10	369	53	2	7	1213	5	398	21	2	0	0	39
MAG042	2908	122	228	18	197	281974	12154	1150	0	4760	2554	848	8135	49	18	38	56	2092	1220	64	2627	8169	0	456	0	2	27	4718	3984	4	22	0	18	0	29472	3334	11489	133487	476	54100	17400	6303	34251	879228
MAG043	45280	4401	2264	12454	44705	160	9566	27905	1573	306462	6199	4210	1889	239089	9294	50	87604	40315	8693	3480	49014	6908	2778	18	933	2101	79712	3548	12	122712	654406	1926	2150	54706	9474	11627	5106	126	0	774	6493	2785	2187	1035
MAG044	251907	17073	170521	278	7332	6288	28944	39608	678	33623	12239	20368	281543	28672	261716	441	241362	285817	16823	156646	270677	14613	552	5759	2254	557	6182	27246	14698	87231	28672	10	2068	3507	73833	16771	203788	4046	9549	2606	53206	18269	21446	48914
MAG045	335	21	51	0	5	5490	4033	1226	0	26	773	9	34	2	14	0	0	18	65	30	32	787	0	39	0	0	4	45147	54	0	2	0	32	2	1102	1763	136	390	253	7016	2817	97	265	50331
MAG046	88365	30306	4108	60	229676	12770	13426	98139	3196	8191	5644	2764	1685	57311	4500	28	111314	86987	34130	6612	71198	7465	3765	1372	7106	9327	2684	22192	725	48479	29428	20	17481	5405	2907	9473	9039	8821	276	28811	199	179	910	84467
MAG047	8025	8531	3328	257	6305	397	3408	5835	50	2758	1765	10948	437	5748	695	124	1262	10227	2739	3050	9926	2898	437	7274	202	876	171685	2754	12114	583	311	1	911	573	927	2416	701	379	6259	1187	610	519	378	1081
MAG048	343	6	150	10	257	1570	40453	300	86	1010641	4074	63791	24688	38	272	2	176	136	16304	202	90	19837	80	202328	156	48	20	53547	18655	78	834	20	164	26	732	7720	4712	1273	354675	2147	53377	7285	9782	9200
MAG049	10	28	160	70	2	88416	35760	2	0	258	1938	20	2	2	76	12	48	10	2062	42	4	16268	0	276	0	0	282	58089	3462	6	0	10	30	34	9334	4692	2	89323	78	450517	22278	7680	3958	827950
MAG050	25069	269920	350	0	10761	16	38	59849	0	4460	26	14	176	82	148	818	248	12499	8	120	12033	54	0	20	2	0	30	4	0	20	28	0	64	16	0	44	1125	28	10	2	2	12	8	0
MAG051	70401	53032	15859	1701	42460	261	729	88912	15667	45249	216	1371	21936	150284	19188	3406	100781	72919	1131	52421	59774	504	54736	641	21372	38545	4089	592	500	29288	59983	251	30472	9962	80	444	37394	188	742	1733	1272	489	40	1007
MAG052	678	817	2358	10	1828	24	23	772	287	501	6	74	301	4741	18047	196	1969	941	3	76272	767	27	2595	287	455	5475	117	15	91	1262	1828	2	2266	266	10	11	618	30	124	99	24	19	6	64
MAG053	14	8	388	4	0	2	2	8	0	56	4	190	2	48	4	0	0	16	2	92	10	6	0	20	0	2	32	5	66	0	34	0	2	10	2	4	2	2	21010	6	0	4	0	4
MAG054	2551	149	2004	12	132	112657	118596	738	0	27985	129477	237344	1029	4	167	1573	6	1239	22381	259	1403	60726	2	112481	2	0	813	14730	461521	72	36	2	12	86	123488	166897	10641	67520	57806	8984	176574	88216	223650	162796
MAG055	0	0	0	194	2	76	1384	4	0	28	88	5682	2	6	0	0	4	0	152	2	2	1164	2	199175	0	0	42	1064	480	0	2	2	0	0	6	138	0	54	1274	186	20	14	18	270
MAG056	105	157	34	145537	501	1399	7934	127	142	89	4363	13	15	682	22	13	248	272	5356	101	232	7005	215	89	1304	1561	110	6514	4	139	53	84234	1509	20	4734	6164	47	2076	12	14252	1770	2151	5768	1598
MAG057	58	179	44	312573	179	1033	6642	21	220	42	103	29	0	173	5	10	35	73	186	118	51	7437	264	9	2699	133	86	6285	4	98	4	615013	205	12	29	167	3	1236	47	15177	38	32	14	2748
MAG058	27008	38155	407	133	8323	2	52	1611	84	312	0	71983	34	450912	235	70	16808	28623	8	1295	24521	44	4871	57	3170	9479	48	58	1888	14709	38	211	3151	10	2	6	42	2	2	59	0	0	0	8
MAG059	34122	29406	7018	664	136191	7876	67299	26499	1953	20934	44426	150725	1278	180778	20767	750	58150	56452	142122	18562	55240	54306	9065	133354	1246	19862	306047	142254	6230	43779	56911	14	33062	43481	4331	79320	11804	7759	9357	18196	2320	1424	4241	20144
MAG060	7220	2170	395	15	10078	17	68	9394	5426	237	14	293	27	653	1132	8	33229	5141	68	987	3724	52	2106	422	1059	12185	5168	51	44	11844	1054	9	32695	22925	6	32	286	7	16	28	24	8	16	89
MAG061	57773	67225	25681	143	143885	2520	4126	19683	222	76818	4204	24661	5103	16681	23075	192	30065	71621	18313	58974	52429	2067	355	6308	2077	1572	51786	6766	9778	1813	10908	56	1255	751	2643	7169	11085	1478	10980	8037	1539	1350	1752	12025
MAG062	624	708	1375	34	60	5179	2098	1182	0	1905	857	8468	184	28	120	111	22	323	2396	137	830	1334	52	89497	54	34	160	2148	19224	80	442	6	8	294	2603	1362	682	3950	211588	3246	3447	1649	2149	9620
MAG063	6398	566	2555	58	190	636739	11065	6438	0	33	5054	1399	6101	34	1072	8077	40	4409	542	360	7972	9076	0	54	10	2	36	4604	7817	8	6	0	22	30	56449	5909	18520	249850	504	7357	74241	75938	51458	532640
MAG064	8	6	0	35526	0	62	26	2	0	4	10	2	0	10	0	0	18	0	6	0	2	36	6	0	276	2	70	8	24	0	4	44752	4	10	4	22	0	114	0	1068	0	0	4	130
MAG065	11234	281	2334	9	565	70339	30237	6296	0	171	9508	165	11839	18	164	998	22	9712	168	270	15503	25700	0	283	8	0	18	2378	937	6	16	9	14	10	358	8200	5116	69527	109	47	45111	27910	2200	2154
MAG066	57402	4182	24559	44347	49564	18749	28763	39601	4742	139979	5761	24685	15863	120894	25279	95	34361	47612	20441	54129	50188	20824	41559	4422	8435	11534	59218	24192	3054	69252	149701	7178	12586	58883	18823	11978	10966	14131	1531	36662	18449	4883	7025	110616
MAG067	40559	4612	6786	2	2556	662	594	12504	8	17249	349	448	212588	160	2485	2621	272	43114	533	2438	44512	424	27	1866	145	15	331	228	571	163	89	0	56	0	7961	431	571259	646	1014	66	78200	41503	7356	509
MAG068	2154	1648	877	73	4068	244	1228	2123	4978	19537	718	127221	434	4124	1971	104	2487	3704	1178	1021	2812	923	3725	6115	2835	15577	15764	1371	3437	2129	38510	40	45332	16226	228	1072	255	275	1138	442	527	459	325	547
MAG069	237	70	109	67	56	20521	21687	66	22	481	7330	446	312	39	22	6	36	164	3305	47	156	15899	21	222	4	40	176	9494	576	54	55	47	41	37	359	10931	74	14785	605	3686	5029	2638	979	99201
MAG070	4413	8244	48193	1463	2078	13229	27152	8107	0	814	13956	15590	3627	1842	9736	174	1994	1788	84173	7172	1532	16208	4	3926	39	7	937	53970	2025	321	90	98	32	423	4319	33840	9354	8663	12379	23612	45351	39816	21799	154408
MAG071	6903	14371	946	6	510	31645	74317	6836	0	8046	23285	5521	9478	22	80	339	32	5218	3664	325	4532	46998	0	58	0	0	10	19164	330	32	60	0	14	0	16250	26728	4416	29684	111	456	39575	30268	34750	14544
MAG072	564	285	356	4	718	363	1413	1231	0	259	1624	61	825	5	40	57352	11	771	118	48	703	1590	7	59	1	1	2	291	170	0	0	11	2	0	198	1646	741	520	338	2	842	650	474	53
MAG073	243	3	425	35032	145	178719	152899	194	0	507	65453	250314	78	90	123	14	466	161	144242	484	228	105455	6	196120	275	6	811	82597	30514	177	178	812	62	444	76016	134216	65	131847	137926	619007	114785	25971	22734	651337
MAG074	0	0	0	1943	10	177276	73253	0	0	182	16466	0	100	4	8	0	48	4	15198	8	0	62202	0	10	8	0	0	69804	0	20	0	160	40	0	857728	22375	34	98243	0	931221	46230	28859	521520	3340674
MAG075	164	48	18	0	298	277	188	808	0	16	229	0	8	0	4	121723	0	154	28	6	148	152	0	2	0	0	0	49	6	0	0	0	0	4	8	336	84	414	30	14	5	118	93	37
MAG076	204	882	1246	20	28	22042	3855	820	0	138	4268	56	212	6	104	22	0	148	3346	476	274	3016	0	330	0	0	4	2545	22	6	0	2	0	0	1562	5784	187	13029	632	147103	2136	1862	1102	416521
MAG077	2702	92	24	12	56	3132	17028	472	0	3700	7265	8311	90	14	32	80	4	1487	1290	6	1323	14764	14	5320	40	0	2	5001	3076	8	166	0	8	30	4302	13474	294	4258	995	758	31907	14242	11898	1371
MAG078	30	6	34	42135	0	410	0	0	34	72	0	0	2	2	4	0	0	10	0	8	28	0	152	4	350	36	12	2	12	0	106	145122	4	14	0	0	14	382	0	976	8	2	2	506
MAG079	4006	29	62	296	188	3362	1685	4369	176	8557	549	450	1262	1791	170	2	3036	1933	3387	80	1850	809	138	214	116	68	129373	3834	80	935	1670	22	253	151343	6973	1379	72114	3123	720	382	176	202	864	25546
MAG080	240	26	71	0	886	237	902	2535	0	2	1049	4	76	2	26	151321	8	350	118	15	448	1232	0	43	2	0	2	174	2	0	2	0	0	10	126	1176	223	359	48	2	247	640	463	35
MAG081	1227	132	1259	1237	1729	16	225	1132	497	47934	159	2	142	9670	3097	1	1179	1125	307	2092	1270	146	801	2	80	554	1050	117	0	3770	193066	336	542	14698	549	314	263	6	0	221	155	88	128	73
MAG082	57259	50292	11296	52	201724	12	204	33953	4376	7976	89	112	1850	141623	18446	1323	113809	104878	323	48551	75536	151	22225	47	38307	64515	506	321	24	81270	10524	15	44800	167	12	134	18871	18	23	109	20	26	8	51
MAG083	3005	2595	60429	70	421	903	1502	3893	15	2975	625	7872	173	145	12636	51	430	2237	114	25570	1942	1301	89	218	66	34	83	290	336	346	3303	1	64	76	408	1172	537	1025	579	128	222	293	883	509
MAG084	31222	26894	642	17	724	144	718	11155	56	11346	316	2866	199027	238	710	497	2521	40545	289	728	28340	524	79	433	119	224	3985	385	1070	178	2524	2	141	96	728	452	4097	151	2182	135	1145	592	495	880
MAG085	18438	7822	7946	321520	22419	1087	12148	23513	2955	98460	4349	14465	6005	36895	17466	40	21630	16995	12524	11646	17162	8521	9795	7306	5090	3748	62599	8491	909	36659	108388	315799	5987	45433	4632	9679	3889	1120	110	3982	52804	10439	5288	9546
MAG086	1847	384	368	0	354	393	1051	905	6	121645	393	3297	147225	61	66	20	82	1146	342	147	826	670	2	646	6	6	1058	695	323	6	114	0	21	2	2015	475	860	404	1057	136	1524	1022	904	1030
