sample	Lake	fmoA_Chx	pscA_Chx	rpoB
Jul2014_L227_06m	L227	0.0	0.0	33526.0
Jul2014_L227_08m	L227	0.0	0.0	19826.0
Jul2014_L442_13m	L442	0.0	0.0	27495.0
Jul2018_L221_05m	L221	16.0	26.0	43046.0
Jul2018_L239_20m	L239	0.0	0.0	45161.0
Jul2018_L304_06m	L304	17.0	13.0	56888.0
Jun2011_L442_16_5m	L442	0.0	0.0	37665.0
Jun2013_L227_06m	L227	0.0	0.0	24712.0
Jun2013_L227_08m	L227	0.0	0.0	22650.0
Jun2016_L221_05m	L221	158.0	228.0	61746.0
Jun2016_L222_05m	L222	0.0	0.0	44165.0
Jun2016_L224_25m	L224	0.0	0.0	40304.0
Jun2016_L227_06m	L227	0.0	0.0	39817.0
Jun2016_L227_08m	L227	0.0	0.0	40867.0
Jun2016_L227_10m	L227	0.0	0.0	35598.0
Jun2016_L239_10m	L239	0.0	0.0	6599.0
Jun2016_L239_20m	L239	0.0	0.0	38496.0
Jun2016_L304_06m	L304	8.0	15.0	55578.0
Jun2016_L442_09m	L442	0.0	0.0	27266.0
Jun2016_L442_12m	L442	0.0	0.0	35619.0
Jun2016_L442_15m	L442	0.0	0.0	44136.0
Jun2016_L442_17m	L442	0.0	0.0	44936.0
Jun2016_L626_11m	L626	0.0	0.0	22375.0
Sep2016_L222_05m	L222	4.0	8.0	65363.0
Sep2016_L224_21m	L224	0.0	0.0	36175.0
Sep2016_L224_25m	L224	0.0	0.0	32037.0
Sep2016_L227_06m	L227	0.0	0.0	38784.0
Sep2016_L227_08m	L227	2.0	0.0	48591.0
Sep2016_L227_10m	L227	0.0	0.0	35813.0
Sep2016_L239_10m	L239	0.0	0.0	47075.0
Sep2016_L239_20m	L239	0.0	0.0	40568.0
Sep2016_L373_20m	L373	0.0	0.0	47094.0
Sep2016_L442_09m	L442	0.0	0.0	62574.0
Sep2016_L442_13m	L442	0.0	0.0	42503.0
Sep2016_L442_15m	L442	0.0	0.0	40573.0
Sep2016_L442_17m	L442	0.0	0.0	37889.0
Sep2016_L626_11m	L626	2.0	0.0	33461.0
Sep2017_L227_01m	L227	0.0	0.0	57171.0
Sep2017_L227_03m	L227	0.0	0.0	46875.0
Sep2017_L227_04m	L227	0.0	0.0	55569.0
Sep2017_L227_06m	L227	2.0	2.0	96180.0
Sep2017_L227_08m	L227	0.0	0.0	47126.0
Sep2017_L227_10m	L227	0.0	2.0	43729.0
