Name	ID	jgi_img_genome_id	study_source
Jun2016-L221-5m_MetaG	Jun2016_L221_05m	3300021354	this_study
Jun2016-L222-5m_MetaG	Jun2016_L222_05m	3300021519	this_study
Jun2016-L227-6m_MetaG	Jun2016_L227_06m	3300020158	this_study
Jun2016-L227-8m_MetaG	Jun2016_L227_08m	3300020163	this_study
Jun2016-L304-6m_MetaG	Jun2016_L304_06m	3300020164	this_study
Jun2016-L442-9m_MetaG	Jun2016_L442_09m	3300021340	this_study
Jun2016-L224-25m_MetaG	Jun2016_L224_25m	3300020157	this_study
Jun2016-L227-10m_MetaG	Jun2016_L227_10m	3300020228	this_study
Jun2016-L239-10m_MetaG	Jun2016_L239_10m	3300021481	this_study
Jun2016-L239-20m_MetaG	Jun2016_L239_20m	3300020167	this_study
Jun2016-L442-12m_MetaG	Jun2016_L442_12m	3300020229	this_study
Jun2016-L442-15m_MetaG	Jun2016_L442_15m	3300021473	this_study
Jun2016-L442-17m_MetaG	Jun2016_L442_17m	3300021074	this_study
Jun2016-L626-11m_MetaG	Jun2016_L626_11m	3300021516	this_study
Sep2016-L222-5m_MetaG	Sep2016_L222_05m	3300021602	this_study
Sep2016-L227-6m_MetaG	Sep2016_L227_06m	3300021349	this_study
Sep2016-L227-8m_MetaG	Sep2016_L227_08m	3300021520	this_study
Sep2016-L442-9m_MetaG	Sep2016_L442_09m	3300021079	this_study
Sep2016-L224-21m_MetaG	Sep2016_L224_21m	3300021601	this_study
Sep2016-L224-25m_MetaG	Sep2016_L224_25m	3300021069	this_study
Sep2016-L227-10m_MetaG	Sep2016_L227_10m	3300021605	this_study
Sep2016-L239-10m_MetaG	Sep2016_L239_10m	3300020155	this_study
Sep2016-L239-20m_MetaG	Sep2016_L239_20m	3300021470	this_study
Sep2016-L373-20m_MetaG	Sep2016_L373_20m	3300021075	this_study
Sep2016-L442-13m_MetaG	Sep2016_L442_13m	3300021070	this_study
Sep2016-L442-15m_MetaG	Sep2016_L442_15m	3300021072	this_study
Sep2016-L442-17m_MetaG	Sep2016_L442_17m	3300021071	this_study
Sep2016-L626-11m_MetaG	Sep2016_L626_11m	3300021600	this_study
