"CHX.SPC"
WL/nm,Abs
1100.00,0.005
1099.00,0.005
1098.00,0.005
1097.00,0.005
1096.00,0.005
1095.00,0.005
1094.00,0.005
1093.00,0.005
1092.00,0.005
1091.00,0.005
1090.00,0.005
1089.00,0.005
1088.00,0.005
1087.00,0.005
1086.00,0.005
1085.00,0.005
1084.00,0.005
1083.00,0.005
1082.00,0.005
1081.00,0.005
1080.00,0.005
1079.00,0.005
1078.00,0.005
1077.00,0.005
1076.00,0.005
1075.00,0.005
1074.00,0.005
1073.00,0.005
1072.00,0.005
1071.00,0.005
1070.00,0.005
1069.00,0.005
1068.00,0.005
1067.00,0.005
1066.00,0.005
1065.00,0.005
1064.00,0.006
1063.00,0.005
1062.00,0.005
1061.00,0.005
1060.00,0.005
1059.00,0.005
1058.00,0.005
1057.00,0.005
1056.00,0.005
1055.00,0.005
1054.00,0.005
1053.00,0.005
1052.00,0.005
1051.00,0.005
1050.00,0.005
1049.00,0.005
1048.00,0.005
1047.00,0.005
1046.00,0.005
1045.00,0.005
1044.00,0.005
1043.00,0.005
1042.00,0.005
1041.00,0.005
1040.00,0.004
1039.00,0.004
1038.00,0.004
1037.00,0.004
1036.00,0.004
1035.00,0.004
1034.00,0.004
1033.00,0.004
1032.00,0.004
1031.00,0.004
1030.00,0.004
1029.00,0.004
1028.00,0.004
1027.00,0.004
1026.00,0.004
1025.00,0.004
1024.00,0.004
1023.00,0.004
1022.00,0.004
1021.00,0.004
1020.00,0.004
1019.00,0.003
1018.00,0.003
1017.00,0.003
1016.00,0.003
1015.00,0.003
1014.00,0.003
1013.00,0.003
1012.00,0.003
1011.00,0.003
1010.00,0.003
1009.00,0.004
1008.00,0.003
1007.00,0.003
1006.00,0.003
1005.00,0.003
1004.00,0.003
1003.00,0.004
1002.00,0.003
1001.00,0.004
1000.00,0.004
999.00,0.004
998.00,0.004
997.00,0.004
996.00,0.004
995.00,0.004
994.00,0.004
993.00,0.004
992.00,0.004
991.00,0.004
990.00,0.004
989.00,0.004
988.00,0.004
987.00,0.004
986.00,0.004
985.00,0.004
984.00,0.004
983.00,0.005
982.00,0.005
981.00,0.005
980.00,0.005
979.00,0.005
978.00,0.005
977.00,0.005
976.00,0.005
975.00,0.005
974.00,0.006
973.00,0.006
972.00,0.006
971.00,0.006
970.00,0.006
969.00,0.006
968.00,0.006
967.00,0.006
966.00,0.006
965.00,0.006
964.00,0.006
963.00,0.006
962.00,0.006
961.00,0.007
960.00,0.007
959.00,0.007
958.00,0.007
957.00,0.007
956.00,0.007
955.00,0.007
954.00,0.007
953.00,0.007
952.00,0.007
951.00,0.007
950.00,0.006
949.00,0.006
948.00,0.006
947.00,0.006
946.00,0.005
945.00,0.005
944.00,0.005
943.00,0.005
942.00,0.005
941.00,0.005
940.00,0.005
939.00,0.005
938.00,0.005
937.00,0.005
936.00,0.005
935.00,0.005
934.00,0.004
933.00,0.004
932.00,0.004
931.00,0.004
930.00,0.004
929.00,0.004
928.00,0.004
927.00,0.004
926.00,0.004
925.00,0.004
924.00,0.004
923.00,0.004
922.00,0.004
921.00,0.004
920.00,0.004
919.00,0.004
918.00,0.003
917.00,0.003
916.00,0.003
915.00,0.003
914.00,0.003
913.00,0.003
912.00,0.003
911.00,0.003
910.00,0.003
909.00,0.003
908.00,0.003
907.00,0.003
906.00,0.003
905.00,0.003
904.00,0.003
903.00,0.003
902.00,0.003
901.00,0.003
900.00,0.003
899.00,0.003
898.00,0.003
897.00,0.003
896.00,0.003
895.00,0.003
894.00,0.003
893.00,0.003
892.00,0.003
891.00,0.003
890.00,0.003
889.00,0.003
888.00,0.003
887.00,0.003
886.00,0.003
885.00,0.003
884.00,0.003
883.00,0.004
882.00,0.004
881.00,0.004
880.00,0.004
879.00,0.004
878.00,0.004
877.00,0.004
876.00,0.004
875.00,0.004
874.00,0.004
873.00,0.004
872.00,0.004
871.00,0.004
870.00,0.004
869.00,0.004
868.00,0.004
867.00,0.004
866.00,0.004
865.00,0.004
864.00,0.004
863.00,0.004
862.00,0.004
861.00,0.004
860.00,0.004
859.00,0.004
858.00,0.004
857.00,0.004
856.00,0.004
855.00,0.004
854.00,0.004
853.00,0.004
852.00,0.004
851.00,0.004
850.00,0.005
849.00,0.005
848.00,0.005
847.00,0.005
846.00,0.005
845.00,0.005
844.00,0.005
843.00,0.005
842.00,0.005
841.00,0.005
840.00,0.005
839.00,0.005
838.00,0.006
837.00,0.006
836.00,0.006
835.00,0.006
834.00,0.006
833.00,0.006
832.00,0.007
831.00,0.007
830.00,0.007
829.00,0.007
828.00,0.008
827.00,0.008
826.00,0.008
825.00,0.008
824.00,0.009
823.00,0.009
822.00,0.009
821.00,0.010
820.00,0.010
819.00,0.011
818.00,0.011
817.00,0.012
816.00,0.012
815.00,0.013
814.00,0.014
813.00,0.014
812.00,0.015
811.00,0.016
810.00,0.016
809.00,0.017
808.00,0.018
807.00,0.019
806.00,0.019
805.00,0.020
804.00,0.021
803.00,0.022
802.00,0.023
801.00,0.024
800.00,0.024
799.00,0.026
798.00,0.027
797.00,0.028
796.00,0.030
795.00,0.031
794.00,0.033
793.00,0.035
792.00,0.037
791.00,0.040
790.00,0.043
789.00,0.046
788.00,0.050
787.00,0.055
786.00,0.060
785.00,0.065
784.00,0.071
783.00,0.077
782.00,0.084
781.00,0.092
780.00,0.101
779.00,0.110
778.00,0.120
777.00,0.132
776.00,0.144
775.00,0.157
774.00,0.170
773.00,0.184
772.00,0.198
771.00,0.213
770.00,0.228
769.00,0.244
768.00,0.261
767.00,0.278
766.00,0.294
765.00,0.311
764.00,0.327
763.00,0.343
762.00,0.358
761.00,0.373
760.00,0.388
759.00,0.401
758.00,0.413
757.00,0.424
756.00,0.434
755.00,0.443
754.00,0.450
753.00,0.456
752.00,0.461
751.00,0.464
750.00,0.465
749.00,0.465
748.00,0.464
747.00,0.462
746.00,0.458
745.00,0.453
744.00,0.446
743.00,0.438
742.00,0.430
741.00,0.420
740.00,0.410
739.00,0.399
738.00,0.387
737.00,0.375
736.00,0.364
735.00,0.352
734.00,0.340
733.00,0.328
732.00,0.316
731.00,0.304
730.00,0.292
729.00,0.281
728.00,0.270
727.00,0.260
726.00,0.250
725.00,0.241
724.00,0.232
723.00,0.223
722.00,0.215
721.00,0.208
720.00,0.200
719.00,0.194
718.00,0.188
717.00,0.182
716.00,0.176
715.00,0.170
714.00,0.165
713.00,0.160
712.00,0.156
711.00,0.151
710.00,0.147
709.00,0.143
708.00,0.139
707.00,0.135
706.00,0.131
705.00,0.128
704.00,0.125
703.00,0.122
702.00,0.119
701.00,0.117
700.00,0.114
699.00,0.112
698.00,0.110
697.00,0.108
696.00,0.106
695.00,0.105
694.00,0.103
693.00,0.102
692.00,0.101
691.00,0.100
690.00,0.100
689.00,0.099
688.00,0.098
687.00,0.098
686.00,0.098
685.00,0.098
684.00,0.098
683.00,0.097
682.00,0.097
681.00,0.098
680.00,0.098
679.00,0.098
678.00,0.098
677.00,0.098
676.00,0.097
675.00,0.097
674.00,0.097
673.00,0.096
672.00,0.096
671.00,0.095
670.00,0.094
669.00,0.093
668.00,0.092
667.00,0.091
666.00,0.090
665.00,0.089
664.00,0.087
663.00,0.086
662.00,0.085
661.00,0.084
660.00,0.083
659.00,0.082
658.00,0.080
657.00,0.079
656.00,0.079
655.00,0.078
654.00,0.078
653.00,0.077
652.00,0.077
651.00,0.076
650.00,0.076
649.00,0.076
648.00,0.075
647.00,0.075
646.00,0.075
645.00,0.075
644.00,0.075
643.00,0.075
642.00,0.075
641.00,0.075
640.00,0.075
639.00,0.074
638.00,0.074
637.00,0.074
636.00,0.074
635.00,0.074
634.00,0.073
633.00,0.073
632.00,0.073
631.00,0.072
630.00,0.072
629.00,0.072
628.00,0.071
627.00,0.071
626.00,0.070
625.00,0.070
624.00,0.069
623.00,0.068
622.00,0.068
621.00,0.067
620.00,0.067
619.00,0.066
618.00,0.066
617.00,0.065
616.00,0.065
615.00,0.065
614.00,0.065
613.00,0.064
612.00,0.064
611.00,0.064
610.00,0.064
609.00,0.064
608.00,0.064
607.00,0.064
606.00,0.064
605.00,0.064
604.00,0.064
603.00,0.064
602.00,0.064
601.00,0.064
600.00,0.064
599.00,0.065
598.00,0.065
597.00,0.065
596.00,0.065
595.00,0.066
594.00,0.066
593.00,0.066
592.00,0.067
591.00,0.067
590.00,0.067
589.00,0.068
588.00,0.068
587.00,0.069
586.00,0.069
585.00,0.069
584.00,0.070
583.00,0.071
582.00,0.071
581.00,0.072
580.00,0.072
579.00,0.073
578.00,0.074
577.00,0.074
576.00,0.075
575.00,0.076
574.00,0.076
573.00,0.077
572.00,0.078
571.00,0.079
570.00,0.079
569.00,0.079
568.00,0.080
567.00,0.080
566.00,0.081
565.00,0.081
564.00,0.081
563.00,0.081
562.00,0.081
561.00,0.082
560.00,0.082
559.00,0.082
558.00,0.082
557.00,0.082
556.00,0.082
555.00,0.082
554.00,0.083
553.00,0.083
552.00,0.083
551.00,0.084
550.00,0.085
549.00,0.086
548.00,0.086
547.00,0.087
546.00,0.088
545.00,0.089
544.00,0.090
543.00,0.091
542.00,0.093
541.00,0.094
540.00,0.096
539.00,0.097
538.00,0.099
537.00,0.101
536.00,0.103
535.00,0.104
534.00,0.106
533.00,0.108
532.00,0.110
531.00,0.112
530.00,0.114
529.00,0.115
528.00,0.117
527.00,0.119
526.00,0.121
525.00,0.122
524.00,0.124
523.00,0.126
522.00,0.127
521.00,0.129
520.00,0.130
519.00,0.132
518.00,0.133
517.00,0.134
516.00,0.136
515.00,0.137
514.00,0.138
513.00,0.139
512.00,0.140
511.00,0.141
510.00,0.143
509.00,0.144
508.00,0.145
507.00,0.146
506.00,0.147
505.00,0.148
504.00,0.150
503.00,0.151
502.00,0.153
501.00,0.154
500.00,0.156
499.00,0.158
498.00,0.160
497.00,0.161
496.00,0.163
495.00,0.166
494.00,0.168
493.00,0.170
492.00,0.173
491.00,0.175
490.00,0.178
489.00,0.181
488.00,0.184
487.00,0.187
486.00,0.191
485.00,0.194
484.00,0.198
483.00,0.202
482.00,0.206
481.00,0.210
480.00,0.215
479.00,0.221
478.00,0.226
477.00,0.232
476.00,0.239
475.00,0.246
474.00,0.254
473.00,0.262
472.00,0.270
471.00,0.279
470.00,0.288
469.00,0.298
468.00,0.308
467.00,0.318
466.00,0.328
465.00,0.337
464.00,0.346
463.00,0.354
462.00,0.362
461.00,0.368
460.00,0.374
459.00,0.379
