"CHX_W.SPC"
WL/nm,Abs
1100.00,0.422
1099.00,0.423
1098.00,0.423
1097.00,0.423
1096.00,0.424
1095.00,0.424
1094.00,0.424
1093.00,0.424
1092.00,0.425
1091.00,0.425
1090.00,0.425
1089.00,0.426
1088.00,0.426
1087.00,0.426
1086.00,0.427
1085.00,0.427
1084.00,0.427
1083.00,0.428
1082.00,0.428
1081.00,0.428
1080.00,0.428
1079.00,0.429
1078.00,0.429
1077.00,0.429
1076.00,0.430
1075.00,0.430
1074.00,0.430
1073.00,0.431
1072.00,0.431
1071.00,0.431
1070.00,0.431
1069.00,0.432
1068.00,0.432
1067.00,0.433
1066.00,0.433
1065.00,0.433
1064.00,0.433
1063.00,0.434
1062.00,0.434
1061.00,0.435
1060.00,0.435
1059.00,0.435
1058.00,0.435
1057.00,0.435
1056.00,0.435
1055.00,0.436
1054.00,0.436
1053.00,0.436
1052.00,0.436
1051.00,0.437
1050.00,0.437
1049.00,0.437
1048.00,0.438
1047.00,0.438
1046.00,0.438
1045.00,0.438
1044.00,0.438
1043.00,0.439
1042.00,0.439
1041.00,0.439
1040.00,0.440
1039.00,0.440
1038.00,0.440
1037.00,0.440
1036.00,0.440
1035.00,0.441
1034.00,0.441
1033.00,0.441
1032.00,0.442
1031.00,0.442
1030.00,0.442
1029.00,0.442
1028.00,0.442
1027.00,0.443
1026.00,0.443
1025.00,0.443
1024.00,0.444
1023.00,0.444
1022.00,0.444
1021.00,0.445
1020.00,0.445
1019.00,0.445
1018.00,0.445
1017.00,0.446
1016.00,0.446
1015.00,0.446
1014.00,0.447
1013.00,0.447
1012.00,0.447
1011.00,0.447
1010.00,0.448
1009.00,0.448
1008.00,0.449
1007.00,0.449
1006.00,0.449
1005.00,0.450
1004.00,0.450
1003.00,0.450
1002.00,0.450
1001.00,0.451
1000.00,0.451
999.00,0.451
998.00,0.451
997.00,0.452
996.00,0.452
995.00,0.452
994.00,0.452
993.00,0.453
992.00,0.453
991.00,0.453
990.00,0.454
989.00,0.454
988.00,0.454
987.00,0.454
986.00,0.455
985.00,0.455
984.00,0.456
983.00,0.456
982.00,0.456
981.00,0.457
980.00,0.457
979.00,0.457
978.00,0.458
977.00,0.458
976.00,0.458
975.00,0.459
974.00,0.459
973.00,0.459
972.00,0.460
971.00,0.460
970.00,0.461
969.00,0.461
968.00,0.461
967.00,0.462
966.00,0.462
965.00,0.462
964.00,0.463
963.00,0.463
962.00,0.463
961.00,0.464
960.00,0.464
959.00,0.464
958.00,0.465
957.00,0.465
956.00,0.465
955.00,0.466
954.00,0.466
953.00,0.467
952.00,0.467
951.00,0.467
950.00,0.467
949.00,0.467
948.00,0.467
947.00,0.467
946.00,0.467
945.00,0.468
944.00,0.468
943.00,0.468
942.00,0.468
941.00,0.469
940.00,0.469
939.00,0.469
938.00,0.469
937.00,0.470
936.00,0.470
935.00,0.470
934.00,0.470
933.00,0.471
932.00,0.471
931.00,0.471
930.00,0.471
929.00,0.472
928.00,0.472
927.00,0.472
926.00,0.472
925.00,0.472
924.00,0.473
923.00,0.473
922.00,0.473
921.00,0.474
920.00,0.474
919.00,0.474
918.00,0.475
917.00,0.475
916.00,0.475
915.00,0.475
914.00,0.476
913.00,0.476
912.00,0.476
911.00,0.477
910.00,0.477
909.00,0.477
908.00,0.478
907.00,0.478
906.00,0.478
905.00,0.479
904.00,0.479
903.00,0.479
902.00,0.479
901.00,0.480
900.00,0.480
899.00,0.480
898.00,0.480
897.00,0.481
896.00,0.481
895.00,0.481
894.00,0.482
893.00,0.482
892.00,0.482
891.00,0.483
890.00,0.483
889.00,0.483
888.00,0.484
887.00,0.484
886.00,0.484
885.00,0.485
884.00,0.485
883.00,0.486
882.00,0.486
881.00,0.486
880.00,0.487
879.00,0.487
878.00,0.488
877.00,0.488
876.00,0.488
875.00,0.489
874.00,0.489
873.00,0.489
872.00,0.490
871.00,0.490
870.00,0.491
869.00,0.491
868.00,0.491
867.00,0.491
866.00,0.492
865.00,0.492
864.00,0.492
863.00,0.493
862.00,0.493
861.00,0.493
860.00,0.494
859.00,0.494
858.00,0.495
857.00,0.495
856.00,0.495
855.00,0.496
854.00,0.496
853.00,0.496
852.00,0.497
851.00,0.497
850.00,0.498
849.00,0.498
848.00,0.498
847.00,0.499
846.00,0.499
845.00,0.499
844.00,0.500
843.00,0.500
842.00,0.500
841.00,0.501
840.00,0.501
839.00,0.502
838.00,0.502
