"CAUR.SPC"
WL/nm,Abs
1100.00,0.002
1099.00,0.002
1098.00,0.002
1097.00,0.002
1096.00,0.002
1095.00,0.002
1094.00,0.002
1093.00,0.002
1092.00,0.002
1091.00,0.002
1090.00,0.002
1089.00,0.002
1088.00,0.002
1087.00,0.002
1086.00,0.002
1085.00,0.002
1084.00,0.002
1083.00,0.002
1082.00,0.002
1081.00,0.002
1080.00,0.002
1079.00,0.002
1078.00,0.002
1077.00,0.002
1076.00,0.002
1075.00,0.002
1074.00,0.002
1073.00,0.002
1072.00,0.002
1071.00,0.002
1070.00,0.002
1069.00,0.002
1068.00,0.002
1067.00,0.002
1066.00,0.002
1065.00,0.002
1064.00,0.002
1063.00,0.002
1062.00,0.002
1061.00,0.002
1060.00,0.002
1059.00,0.002
1058.00,0.002
1057.00,0.002
1056.00,0.002
1055.00,0.002
1054.00,0.002
1053.00,0.002
1052.00,0.002
1051.00,0.002
1050.00,0.002
1049.00,0.002
1048.00,0.002
1047.00,0.002
1046.00,0.002
1045.00,0.002
1044.00,0.002
1043.00,0.002
1042.00,0.002
1041.00,0.002
1040.00,0.002
1039.00,0.002
1038.00,0.002
1037.00,0.002
1036.00,0.002
1035.00,0.002
1034.00,0.002
1033.00,0.002
1032.00,0.002
1031.00,0.002
1030.00,0.002
1029.00,0.002
1028.00,0.002
1027.00,0.002
1026.00,0.002
1025.00,0.002
1024.00,0.002
1023.00,0.002
1022.00,0.002
1021.00,0.002
1020.00,0.002
1019.00,0.002
1018.00,0.002
1017.00,0.002
1016.00,0.002
1015.00,0.002
1014.00,0.002
1013.00,0.002
1012.00,0.002
1011.00,0.002
1010.00,0.002
1009.00,0.002
1008.00,0.002
1007.00,0.002
1006.00,0.002
1005.00,0.002
1004.00,0.002
1003.00,0.002
1002.00,0.002
1001.00,0.002
1000.00,0.002
999.00,0.002
998.00,0.002
997.00,0.002
996.00,0.002
995.00,0.002
994.00,0.002
993.00,0.002
992.00,0.002
991.00,0.002
990.00,0.002
989.00,0.002
988.00,0.002
987.00,0.002
986.00,0.002
985.00,0.002
984.00,0.002
983.00,0.002
982.00,0.002
981.00,0.002
980.00,0.002
979.00,0.002
978.00,0.002
977.00,0.003
976.00,0.002
975.00,0.003
974.00,0.002
973.00,0.003
972.00,0.003
971.00,0.003
970.00,0.003
969.00,0.003
968.00,0.003
967.00,0.003
966.00,0.003
965.00,0.003
964.00,0.003
963.00,0.003
962.00,0.003
961.00,0.003
960.00,0.003
959.00,0.003
958.00,0.003
957.00,0.003
956.00,0.003
955.00,0.003
954.00,0.003
953.00,0.003
952.00,0.003
951.00,0.003
950.00,0.003
949.00,0.003
948.00,0.003
947.00,0.003
946.00,0.003
945.00,0.003
944.00,0.003
943.00,0.003
942.00,0.003
941.00,0.003
940.00,0.003
939.00,0.003
938.00,0.003
937.00,0.003
936.00,0.003
935.00,0.003
934.00,0.003
933.00,0.003
932.00,0.003
931.00,0.003
930.00,0.003
