"CFER.SPC"
WL/nm,Abs
1100.00,0.004
1099.00,0.005
1098.00,0.005
1097.00,0.005
1096.00,0.005
1095.00,0.004
1094.00,0.005
1093.00,0.005
1092.00,0.005
1091.00,0.004
1090.00,0.005
1089.00,0.005
1088.00,0.005
1087.00,0.005
1086.00,0.005
1085.00,0.004
1084.00,0.005
1083.00,0.005
1082.00,0.005
1081.00,0.005
1080.00,0.005
1079.00,0.005
1078.00,0.004
1077.00,0.005
1076.00,0.005
1075.00,0.004
1074.00,0.004
1073.00,0.005
1072.00,0.005
1071.00,0.005
1070.00,0.004
1069.00,0.004
1068.00,0.004
1067.00,0.004
1066.00,0.004
1065.00,0.004
1064.00,0.004
1063.00,0.004
1062.00,0.004
1061.00,0.004
1060.00,0.004
1059.00,0.004
1058.00,0.004
1057.00,0.004
1056.00,0.005
1055.00,0.004
1054.00,0.004
1053.00,0.004
1052.00,0.004
1051.00,0.004
1050.00,0.004
1049.00,0.004
1048.00,0.004
1047.00,0.004
1046.00,0.004
1045.00,0.004
1044.00,0.004
1043.00,0.004
1042.00,0.004
1041.00,0.004
1040.00,0.004
1039.00,0.004
1038.00,0.004
1037.00,0.004
1036.00,0.004
1035.00,0.004
1034.00,0.004
1033.00,0.004
1032.00,0.004
1031.00,0.004
1030.00,0.004
1029.00,0.004
1028.00,0.004
1027.00,0.004
1026.00,0.004
1025.00,0.004
1024.00,0.004
1023.00,0.004
1022.00,0.004
1021.00,0.004
1020.00,0.004
1019.00,0.004
1018.00,0.004
1017.00,0.004
1016.00,0.004
1015.00,0.004
1014.00,0.004
1013.00,0.004
1012.00,0.004
1011.00,0.004
1010.00,0.004
1009.00,0.004
1008.00,0.004
1007.00,0.004
1006.00,0.004
1005.00,0.004
1004.00,0.004
1003.00,0.005
1002.00,0.004
1001.00,0.004
1000.00,0.005
999.00,0.005
998.00,0.005
997.00,0.005
996.00,0.005
995.00,0.005
994.00,0.005
993.00,0.005
992.00,0.005
991.00,0.005
990.00,0.005
989.00,0.005
988.00,0.005
987.00,0.005
986.00,0.005
985.00,0.005
984.00,0.005
983.00,0.005
