MAG_ID	Sep2016_L442_13m	Sep2016_L373_20m	Sep2016_L224_25m	Sep2017_L227_03m	Jun2016_L442_15m	Sep2017_L227_08m	Sep2016_L227_08m	Jun2016_L442_17m	Jun2016_L239_10m	Sep2016_L222_05m	Jun2016_L227_10m	Jun2016_L221_05m	Jul2014_L442_13m	Sep2016_L442_09m	Jun2016_L224_25m	Jul2018_L111_30m	Jun2016_L442_12m	Sep2016_L442_15m	Jun2016_L227_06m	Sep2016_L224_21m	Sep2016_L442_17m	Sep2016_L227_10m	Sep2016_L239_10m	Jun2016_L304_06m	Jul2018_L239_20m	Sep2016_L239_20m	Sep2016_L626_11m	Sep2016_L227_06m	Jul2018_L221_05m	Jun2016_L442_09m	Jun2016_L222_05m	Sep2017_L227_01m	Jun2016_L239_20m	Jun2016_L626_11m	Jun2013_L227_06m	Jun2016_L227_08m	Jun2011_L442_16_5m	Sep2017_L227_10m	Jul2018_L304_06m	Sep2017_L227_04m	Jul2014_L227_06m	Jul2014_L227_08m	Jun2013_L227_08m	Sep2017_L227_06m	Domain	Phylum	Class	Order	Family	Genus	Species	Completeness	Contamination	Strain_heterogeneity
MAG229	0.05124057076502555	0.0002249060269780402	9.937218825228823e-05	0.0	0.2398798886631253	0.0005538196629259538	0.0035810521160959193	0.24034248997780658	0.0	2.8315688854256442e-05	0.013825319493512246	3.7219302103761085e-05	0.0011865154754918791	0.0002873155337786581	0.0001027822645091299	0.5452170617867896	0.003931320736756807	0.07859885311857001	0.001265297308896996	2.7341938916960095e-05	0.13013154837297458	0.005872349348839768	9.35623752755061e-06	2.8171273557715307e-05	0.0003090590177383279	6.064715732521535e-05	0.0	0.001730243105360362	0.0001340295770121781	0.0007882193464073053	0.00012473767666597147	0.0	0.0005702703894809473	9.835189758184156e-05	7.117805517922136e-05	0.010705059269659466	0.001380255671013777	0.0008874368814626565	5.629015691651527e-05	1.062341943437728e-05	5.717951901675014e-06	0.00017215137885569134	0.0002200661480568685	6.749009769881214e-05	Archaea	Halobacterota	Bog-38	Bog-38	Bog-38	Bog-38	Unresolved_Bog-38	90.31	1.31	0.0
MAG045	0.0012569999418778235	5.367075643794141e-05	0.00015837442502708435	0.0	1.741794137838551e-05	0.017177796324652467	0.010029432766815862	0.004301227523323371	0.0	4.601299438816672e-05	0.004041971243753769	1.8609651051880543e-05	0.00019029021776756553	4.288291548935196e-06	4.7965056770927287e-05	0.0	0.0	6.363707071492713e-05	0.0002349837859380135	8.20258167508803e-05	0.00012316866952394887	0.00266524736882174	0.0	9.987996988644517e-05	0.0	0.0	2.006843637831551e-05	0.15560813840180132	0.0001904630831225689	0.0	6.236883833298573e-06	0.0	0.00011264600286043404	1.9670379516368313e-05	0.003921910840375097	0.005942386490053412	0.0006752329901362362	0.0012818532732238371	0.0007495478789409665	0.018633477687897748	0.008053735253509256	0.0005963815624643593	0.0012677723746754384	0.073844437114759	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Unresolved_Methanoregula	66.29	1.96	0.0
MAG211	0.05504909297698374	0.0011807566416347111	0.002198609665081877	0.0	0.01047166635668537	0.0007102658953909125	0.002688275928819228	0.11272654286452141	0.0	0.0012529692318008474	0.003205340714645615	0.0011744757552742387	0.4740521098567815	2.5729749293611177e-05	0.0002569556612728247	0.001004008027179854	0.00023660726656406708	0.03813628232232884	0.0022160778581538816	0.000822992361400499	0.8352952755231174	0.003369658363376914	0.0	0.0005429372722032405	4.578652114641894e-05	0.0	7.525663641868317e-05	0.0017957303942086626	0.00048321189607022105	3.637935444956794e-05	5.6131954499687156e-05	0.0	0.0001548882539330968	0.00023604455419641977	0.0049824638625454954	0.0027436770294404296	0.03738606188033719	0.0010747846675492171	0.0006488181244587812	0.0007569186346993811	0.003021937580035245	0.0054412132245459585	0.003085710119493048	0.0009389926636356472	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Unresolved_Methanoregula	89.14	1.33	66.67
MAG346	0.018183348412955023	0.00857965377915092	0.06663215760404215	0.00039285428795331114	0.0042186254018449715	0.1341557732633514	0.6864852038138404	0.1263318938722278	0.0	0.00010618383320346167	1.1351089282491016	0.0019808939675223956	0.008025769772902617	0.00017581995350634305	0.009760889052883703	0.009253155061306223	0.0005369164895107677	0.01762393319521732	0.1465250435054404	0.06025069659741328	0.04645383351514183	0.9582969726311945	0.0	0.02859640368594992	0.0	6.064715732521535e-06	0.0031808471659630086	0.3620516464469492	0.0038304242272427743	0.00105500127903747	6.236883833298573e-06	6.798790931153732e-05	0.00027457463197230796	0.012254646438697458	0.28497557952104857	1.0273351463847757	0.017501443310516417	0.26085714110105085	0.00389883402642811	0.029153318782789848	0.2855373641139452	0.978041169387427	0.9108824910875603	0.0981423394623683	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Unresolved_Methanoregula	85.89	0.65	100.0
MAG380	0.0008179880218787031	0.0005571535668319632	0.0015961657738023797	0.00015941913134337265	0.0005469233592813051	0.12245046615032316	0.4606824600017617	0.012703707065215276	0.0	2.4776227747474384e-05	1.9836039240481707	0.00022745129063409553	0.00030222563998378053	8.147753942976872e-05	0.00036316400126559225	0.00039346260524615904	5.46016768994001e-05	0.0013010245568385104	0.301335976816572	0.0006890168607073945	0.002528806746163575	0.9936766921509922	0.0	0.0005147659986455251	2.289326057320947e-05	0.0	7.02395273241043e-05	0.3792506765181608	5.996060024229021e-05	0.0018735367541527488	0.0	6.095467731379208e-05	0.00019713050500575957	5.901113854910494e-05	0.00992933869750138	1.4016279712143114	0.00019859793827536358	0.18774220247832196	1.777583902626798e-05	0.07563343466304903	0.047524757230771875	0.5641646615642227	0.07177026854672047	0.05189695077831268	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Unresolved_Methanoregulaceae	Unresolved_Methanoregulaceae	95.75	1.96	25.0
MAG446	0.014337303814672133	0.017353544581601058	0.044351049769349386	0.0001565723611408124	0.004225592578396325	0.14648686530623944	0.6201039370534597	0.18647540401279267	0.0	5.309191660173083e-05	2.1384746928677036	0.003391091969453788	0.0021603536487729497	3.645047816594916e-05	0.0038235002397396314	0.041137193762288075	0.0002002061486311337	0.020568915412191448	0.2174033836146818	0.02118726846675238	0.044698679974425566	1.4154766410541022	0.0	0.0015417369710676923	2.289326057320947e-05	0.0	0.0011388837644694054	0.1577106250437731	0.0028851629998937287	0.0018856632056359378	0.0	6.095467731379208e-05	0.00010560562768165691	0.0005212650571837603	0.010957861594841129	1.6065240190554098	0.002030663918865593	0.2760816138230324	0.00027256286506944236	0.012798564563566027	0.05675924955197703	1.1584435179011305	0.5523564635293463	0.021931347400040088	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Unresolved_Methanoregulaceae	Unresolved_Methanoregulaceae	90.85	1.55	50.0
MAG640	0.0009793342830749611	0.00021979452636490293	0.0007918721251354219	9.679018688704768e-05	0.0010764287771842247	0.09339840078158035	0.19372745895554735	0.006486924706871871	0.0	5.6631377708512884e-05	0.2512558347135994	0.00023158676864562454	0.0003861772066459418	4.288291548935196e-06	0.00010963441547640522	0.002917050349238765	7.28022358658668e-05	0.0012621352358460549	0.03146252136951587	0.0004593445738049296	0.0017936437499425054	0.6308914835897976	0.0	0.0035803127666987275	0.0	0.0	4.013687275663102e-05	0.07436598653636488	0.0001340295770121781	0.0001818967722478397	0.0	2.813292799098096e-05	2.816150071510851e-05	5.901113854910494e-05	0.000989374966991177	0.17329657345411578	0.0007248824747050772	0.18265094422133807	0.0006873324423490285	0.02067583007415678	0.00746478620763673	0.10944523910750577	0.022561564222525914	0.016540942640356698	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Unresolved_Methanoregulaceae	Unresolved_Methanoregulaceae	83.59	1.96	0.0
MAG157	0.0073693966741732704	0.003739062698509918	0.0010434079766490263	2.8467702025602256e-05	0.010548305298750265	0.00027534536913832735	0.00375015735491156	0.12713179589124715	0.007631368558761538	2.8315688854256442e-05	0.00497272270738659	0.00020470616157068595	0.0048691908664053535	0.0017925058674549117	0.00030149464256011435	0.002225098871047244	0.0022341186131337874	0.0105672891314954	0.0005205794642319069	0.0005030916760720658	0.020765467877553255	0.006346472133636519	0.000505236826487733	0.0002970788847904524	0.00014880619372586155	0.0011947489993067422	4.51539818512099e-05	0.003177856858849111	2.116256479139654e-05	0.005887392195088411	4.989507066638858e-05	5.626585598196192e-05	0.0006617952668050499	9.835189758184156e-05	0.00012812049932259845	0.0031346678591886975	0.0017526268052800837	0.00067708147252336	3.258903821482463e-05	0.00010092248462658415	0.0003230642824446383	0.0046173459114508646	0.000932889105893247	9.976797051128751e-05	Archaea	Halobacterota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Unresolved_Methanothrix	72.74	6.86	63.64
MAG725	0.0002026208861534402	0.00014056626686127514	6.831837942344815e-05	0.0001537255909382522	0.0001602450606811467	0.02447757753146744	0.5904831650015023	0.0021611387882277296	0.0	8.140760545598727e-05	0.8381782955870041	4.13547801152901e-06	0.0015111281999189029	2.5729749293611177e-05	0.0001850080761164338	0.003554731123258402	0.0001092033537988002	0.00029343760385216403	0.02834988998962926	0.00012577291901801646	0.0008429355820545251	0.7375047649339872	0.0	0.001247219111146123	5.723315143302367e-05	0.0	1.0034218189157755e-05	0.07743010231458274	0.0	0.0008609780553064412	0.0	5.861026664787699e-05	4.224225107266276e-05	5.901113854910494e-05	0.05328389210716511	0.748983381710022	0.0004220206188351476	0.04742857110928197	0.0012561592911896039	0.00478319460032837	0.12256429901240393	2.9238989459109592	1.3086951101206221	0.004185853233363284	Archaea	Halobacterota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Unresolved_Methanothrix	100.0	0.0	0.0
MAG007	0.0019061372252953265	0.0	0.0006676568898200615	0.0	0.0007385207144435457	0.05745644333508074	0.017925155314457906	0.0065676165772115425	0.0	7.0789222135641105e-06	0.035462676552571876	0.0	6.716125332972901e-05	4.288291548935196e-06	0.0004933548696438234	0.09220592638803092	4.5501397416166745e-05	0.0017535548374779922	0.002588436780486426	0.00017498840906854463	0.0016935692059542966	0.021948498344769626	0.0	5.12204973776642e-06	0.0	0.0	0.0	0.002554004265083722	0.0	2.4252902966378627e-05	6.236883833298573e-06	0.0	0.0	0.0	0.02109717555512121	0.040214755083849835	0.0009036206191529043	0.08825066765656417	5.92527967542266e-06	7.436393604064095e-05	0.012036288753025905	0.20813716530006138	0.07266488527903861	0.0011649377733229749	Archaea	Iainarchaeota	Iainarchaeia	0-14-0-20-30-16	Unresolved_0-14-0-20-30-16	Unresolved_0-14-0-20-30-16	Unresolved_0-14-0-20-30-16	74.22	0.0	0.0
