Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
Sep2016_L442_13m	raw	48619859.0	14683197418	48619859.0	14683197418	0	0	2019-08-23-19:11:51
Sep2016_L442_13m	deduplicated	42413825.0	12808975150	42413825.0	12808975150	0	0	2019-08-24-06:40:24
Sep2016_L442_13m	filtered	41927937.0	11844268743	41614949.0	11802622539	312988	41646204	2019-08-24-11:02:14
Sep2016_L442_13m	clean	41614839.0	11802596826	41614839.0	11802596826	0	0	2019-08-27-05:04:25
Sep2016_L442_13m	QC	41927811.0	11844240865	41614839.0	11802596826	312972	41644039	2019-08-27-05:04:42
Sep2016_L373_20m	raw	57236296.0	17285361392	57236296.0	17285361392	0	0	2019-08-23-18:57:39
Sep2016_L373_20m	deduplicated	50303670.0	15191708340	50303670.0	15191708340	0	0	2019-08-24-03:40:46
Sep2016_L373_20m	filtered	49936290.0	14173353873	49319119.0	14088707195	617171	84646678	2019-08-24-09:17:38
Sep2016_L373_20m	clean	49319044.0	14088689651	49319044.0	14088689651	0	0	2019-08-25-16:03:33
Sep2016_L373_20m	QC	49936203.0	14173334729	49319044.0	14088689651	617159	84645078	2019-08-25-16:03:47
Sep2016_L224_25m	raw	49145356.0	14841897512	49145356.0	14841897512	0	0	2019-08-23-19:15:28
Sep2016_L224_25m	deduplicated	41016923.0	12387110746	41016923.0	12387110746	0	0	2019-08-24-07:41:36
Sep2016_L224_25m	filtered	40071895.0	11079708140	39863941.0	11053315810	207954	26392330	2019-08-24-12:34:18
Sep2016_L224_25m	clean	39863841.0	11053292511	39863841.0	11053292511	0	0	2019-08-29-19:14:50
Sep2016_L224_25m	QC	40071778.0	11079682366	39863841.0	11053292511	207937	26389855	2019-08-29-19:15:03
Sep2017_L227_03m	raw	34231639.0	13762384364	34231639.0	13762384364	0	0	2019-08-23-19:05:58
Sep2017_L227_03m	deduplicated	34171299.0	13738246732	34171299.0	13738246732	0	0	2019-08-24-05:40:50
Sep2017_L227_03m	filtered	34050559.0	12789166619	33793816.0	12739871111	256743	49295508	2019-08-24-09:57:05
Sep2017_L227_03m	clean	33793755.0	12739846794	33793755.0	12739846794	0	0	2019-08-27-14:16:32
Sep2017_L227_03m	QC	34050498.0	12789142302	33793755.0	12739846794	256743	49295508	2019-08-27-14:16:45
Jun2016_L442_15m	raw	46355911.0	13999485122	46355911.0	13999485122	0	0	2019-08-23-19:14:35
Jun2016_L442_15m	deduplicated	42313815.0	12778772130	42313815.0	12778772130	0	0	2019-08-24-07:21:37
Jun2016_L442_15m	filtered	42101050.0	12092572064	41706753.0	12039731284	394297	52840780	2019-08-24-10:44:49
Jun2016_L442_15m	clean	41706726.0	12039725122	41706726.0	12039725122	0	0	2019-08-26-11:16:48
Jun2016_L442_15m	QC	42101021.0	12092565641	41706726.0	12039725122	394295	52840519	2019-08-26-11:17:01
Sep2017_L227_08m	raw	39654432.0	15979447259	39654432.0	15979447259	0	0	2019-08-23-18:55:25
Sep2017_L227_08m	deduplicated	39575903.0	15947495603	39575903.0	15947495603	0	0	2019-08-24-03:29:18
Sep2017_L227_08m	filtered	39550422.0	15420156694	39416545.0	15393943508	133877	26213186	2019-08-24-05:09:00
Sep2017_L227_08m	clean	39416321.0	15393849434	39416321.0	15393849434	0	0	2019-08-24-21:32:39
Sep2017_L227_08m	QC	39550198.0	15420062620	39416321.0	15393849434	133877	26213186	2019-08-24-21:32:54
Sep2016_L227_08m	raw	63028773.0	19034689446	63028773.0	19034689446	0	0	2019-08-23-18:42:29
Sep2016_L227_08m	deduplicated	53444259.0	16140166218	53444259.0	16140166218	0	0	2019-08-24-01:55:19
Sep2016_L227_08m	filtered	52714699.0	14835031663	52450536.0	14801173427	264163	33858236	2019-08-24-08:35:23
Sep2016_L227_08m	clean	52450485.0	14801160962	52450485.0	14801160962	0	0	2019-08-25-21:46:30
Sep2016_L227_08m	QC	52714645.0	14835018867	52450485.0	14801160962	264160	33857905	2019-08-25-21:46:44
Jun2016_L442_17m	raw	62090389.0	18751297478	62090389.0	18751297478	0	0	2019-08-23-18:46:24
Jun2016_L442_17m	deduplicated	52451354.0	15840308908	52451354.0	15840308908	0	0	2019-08-24-02:18:32
Jun2016_L442_17m	filtered	51863606.0	14750477536	51537211.0	14706961348	326395	43516188	2019-08-24-08:03:08
Jun2016_L442_17m	clean	51537122.0	14706940616	51537122.0	14706940616	0	0	2019-08-25-10:27:48
Jun2016_L442_17m	QC	51863514.0	14750456379	51537122.0	14706940616	326392	43515763	2019-08-25-10:28:06
Jun2016_L239_10m	raw	73562038.0	22215735476	73562038.0	22215735476	0	0	2019-08-23-18:39:04
Jun2016_L239_10m	deduplicated	18165870.0	5486092740	18165870.0	5486092740	0	0	2019-08-24-01:06:19
Jun2016_L239_10m	filtered	13463196.0	2967774293	12621694.0	2864388760	841502	103385533	2019-08-24-14:09:29
Jun2016_L239_10m	clean	12621536.0	2864352815	12621536.0	2864352815	0	0	2019-09-02-15:08:13
Jun2016_L239_10m	QC	13462956.0	2967727401	12621536.0	2864352815	841420	103374586	2019-09-02-15:08:18
Sep2016_L222_05m	raw	86227043.0	26040566986	86227043.0	26040566986	0	0	2019-08-23-18:37:04
