MAG_ID	Jun2018_L221_05m_A	Jun2018_L221_05m_B	Jun2018_L221_05m_C	Jun2018_L304_06m_A	Jun2018_L304_06m_B	Jun2018_L304_06m_C	Sep2017_L227_04m_A	Sep2017_L227_04m_B	Sep2017_L227_04m_C	Domain	Phylum	Class	Order	Family	Genus	Species	Completeness	Contamination	Strain_heterogeneity
MAG229	0.0001952497472058	0.000195692602303	0.0002400815533803	0.0001650856440737	6.36924644737587e-05	0.0001046475705281	1.7520328618291695e-05	0.0	0.0	Archaea	Halobacterota	Bog-38	Bog-38	Bog-38	Bog-38	Unresolved_Bog-38	90.31	1.31	0.0
MAG045	0.0005857492416174	0.0004696622455272	0.000526630504189	0.0008411506626616	0.0011606182415218	0.0009493029612197	0.0107750021002493	0.00822788148985	0.0085071013894396	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Unresolved_Methanoregula	66.29	1.96	0.0
MAG211	0.0015403035612903	0.000915841378778	0.0014172556215676	0.0008411506626616	0.0010544641340655	0.0009792022670849	0.0042924805114814	0.0027679548547648	0.0014343368621729	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Unresolved_Methanoregula	89.14	1.33	66.67
MAG346	0.0022417563568074	0.0022308956662542	0.0025634514248027	0.0041428635441372	0.0050600124554152	0.0049857092530204	0.1020033532156942	0.0586697881960945	0.0224176959579274	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Unresolved_Methanoregula	85.89	0.65	100.0
MAG380	0.0009400913754353	0.0007279764805671	0.0006737772627124	9.43346537564452e-05	9.907716695918022e-05	0.0001494965293259	0.0353297426587852	0.0193322650836714	0.0072953340403624	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Unresolved_Methanoregulaceae	Unresolved_Methanoregulaceae	95.75	1.96	25.0
MAG446	0.003203542148599	0.0039451628624285	0.0042052994672745	0.0003773386150257	0.0003113853818717	0.0004933385467756	0.0158558973995539	0.0097149788039786	0.0028686737243459	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Unresolved_Methanoregulaceae	Unresolved_Methanoregulaceae	90.85	1.55	50.0
MAG640	6.508324906860447e-05	0.0001095878572896	0.000108423927333	0.0001886693075128	0.0003821547868425	0.0002391944469215	0.009732542547461	0.0062306121044511	0.0025719143735515	Archaea	Halobacterota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Unresolved_Methanoregulaceae	Unresolved_Methanoregulaceae	83.59	1.96	0.0
MAG157	5.785177694987064e-05	7.82770409212018e-05	4.646739742844776e-05	0.0010848485181991	0.0009058483836267	0.0009268784818208	0.0001927236148012	9.76925242858188e-05	7.418983769860156e-05	Archaea	Halobacterota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Unresolved_Methanothrix	72.74	6.86	63.64
MAG725	0.0001373979702559	7.82770409212018e-05	4.646739742844776e-05	0.0076332457331256	0.0087895600973787	0.0082970573775901	0.0056240254864716	0.0030827418774636	0.0011190300519539	Archaea	Halobacterota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix	Unresolved_Methanothrix	100.0	0.0	0.0
MAG007	1.446294423746766e-05	3.131081636848072e-05	9.293479485689551e-05	0.0001415019806346	0.0001132310479533	8.969791759556959e-05	3.504065723658339e-05	0.0	0.0	Archaea	Iainarchaeota	Iainarchaeia	0-14-0-20-30-16	Unresolved_0-14-0-20-30-16	Unresolved_0-14-0-20-30-16	Unresolved_0-14-0-20-30-16	74.22	0.0	0.0
