Sample	Jun2018_L221_05m_A	Jun2018_L221_05m_B	Jun2018_L221_05m_C	Jun2018_L304_06m_A	Jun2018_L304_06m_B	Jun2018_L304_06m_C	Sep2017_L227_04m_A	Sep2017_L227_04m_B	Sep2017_L227_04m_C
MAG001	556.0	498.0	440.0	809.0	1062.0	1084.0	225.0	121.0	185.0
MAG002	370.0	276.0	226.0	499.0	446.0	454.0	9360.0	3174.0	7771.0
MAG003	96.0	84.0	82.0	8884.0	9842.0	9804.0	130.0	134.0	494.0
MAG004	551.0	502.0	484.0	474.0	708.0	638.0	24052.0	9216.0	25155.0
MAG005	0.0	0.0	0.0	128.0	178.0	120.0	405.0	471.0	323.0
MAG006	0.0	2.0	0.0	4.0	2.0	2.0	0.0	0.0	2.0
MAG007	2.0	4.0	12.0	18.0	16.0	12.0	4.0	0.0	0.0
MAG008	2.0	10.0	2.0	4.0	2.0	0.0	37.0	8.0	14.0
MAG009	8.0	12.0	4.0	20.0	38.0	8.0	2.0	6.0	14.0
MAG010	14.0	16.0	20.0	12.0	12.0	16.0	4.0	0.0	8.0
MAG012	0.0	0.0	0.0	4.0	4.0	8.0	0.0	0.0	0.0
MAG013	252.0	246.0	269.0	324.0	314.0	342.0	22.0	10.0	0.0
MAG014	148742.0	152086.0	135121.0	5960.0	6243.0	5598.0	4.0	0.0	0.0
MAG015	0.0	4.0	2.0	14.0	6.0	12.0	0.0	0.0	0.0
MAG017	9591.0	10684.0	7467.0	438.0	493.0	450.0	0.0	2.0	0.0
MAG018	0.0	0.0	0.0	24.0	32.0	24.0	2.0	0.0	0.0
MAG019	62.0	60.0	72.0	321.0	322.0	324.0	22.0	14.0	12.0
MAG020	1397.0	1453.0	1115.0	335.0	332.0	315.0	322.0	116.0	298.0
MAG021	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0
MAG022	0.0	2.0	0.0	0.0	0.0	0.0	6.0	6.0	20.0
MAG023	2.0	4.0	2.0	27.0	26.0	31.0	13.0	12.0	32.0
MAG024	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
MAG025	0.0	0.0	2.0	0.0	0.0	0.0			
MAG026	51.0	38.0	43.0	777.0	989.0	834.0	36.0	21.0	4.0
MAG027	132.0	109.0	120.0	55.0	68.0	63.0	52.0	34.0	211.0
MAG028	0.0	0.0	0.0	2.0	2.0	2.0	494.0	370.0	990.0
MAG029	80.0	120.0	78.0	336.0	434.0	358.0	298.0	218.0	456.0
MAG030	16.0	12.0	22.0	0.0	6.0	0.0	48.0	24.0	88.0
MAG031	416.0	430.0	294.0	2204.0	2735.0	2489.0	1266.0	806.0	2416.0
MAG032	177.0	184.0	163.0	142.0	151.0	171.0	156.0	70.0	146.0
MAG034	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
MAG035	2.0	4.0	0.0	52.0	72.0	76.0	36.0	34.0	54.0
MAG036	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
MAG037	14.0	0.0	4.0	8.0	12.0	11.0	2.0	4.0	16.0
MAG039	6.0	2.0	2.0	0.0	0.0	0.0	182.0	156.0	376.0
MAG040	19656.0	20192.0	21083.0	28550.0	40420.0	35526.0	553.0	484.0	1467.0
MAG041	0.0	0.0	0.0	22.0	24.0	20.0	0.0	0.0	0.0
MAG042	258.0	240.0	250.0	49.0	57.0	30.0	16680.0	12775.0	11211.0
MAG043	9.0	5.0	4.0	0.0	0.0	0.0	8.0	0.0	6.0
MAG044	324.0	296.0	452.0	102.0	142.0	106.0	42.0	24.0	140.0
MAG045	81.0	60.0	68.0	107.0	164.0	127.0	1230.0	758.0	1376.0
MAG046	1488.0	1502.0	1495.0	727.0	897.0	854.0	368.0	220.0	398.0
MAG047	850.0	900.0	674.0	324.0	364.0	409.0	29.0	30.0	131.0
MAG048	30066.0	30885.0	28291.0	208516.0	263094.0	260897.0	8123.0	6809.0	43472.0
MAG049	496.0	522.0	368.0	10.0	20.0	22.0	15495.0	6539.0	9088.0
MAG050	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0
MAG051	25.0	14.0	28.0	54.0	34.0	44.0	10.0	2.0	24.0
MAG052	0.0	0.0	2.0	0.0	0.0	0.0	61.0	15.0	41.0
MAG053	4.0	2.0	6.0	1148.0	1474.0	1218.0			
MAG054	91861.0	90183.0	78662.0	4849.0	7035.0	5972.0	4068.0	2408.0	2956.0
MAG055	22.0	8.0	6.0	24.0	22.0	29.0	0.0	0.0	4.0
MAG056	36.0	24.0	14.0	61.0	37.0	55.0	270.0	126.0	299.0
MAG057	6.0	2.0	0.0	36.0	36.0	36.0	695.0	226.0	971.0
MAG058	152.0	116.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0
MAG059	628.0	808.0	466.0	592.0	728.0	640.0	248.0	164.0	286.0
MAG060	4.0	4.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0
MAG061	760.0	768.0	512.0	1368.0	1785.0	1693.0	330.0	104.0	132.0
MAG062	399.0	433.0	311.0	9670.0	11838.0	10840.0	678.0	578.0	1039.0
MAG063	910.0	764.0	980.0	16.0	42.0	44.0	2743.0	1586.0	2061.0
MAG064	32.0	26.0	18.0	0.0	0.0	0.0	4.0	8.0	12.0
MAG065	845.0	729.0	900.0	30.0	57.0	38.0	2.0	4.0	2.0
MAG066	830.0	864.0	893.0	1178.0	1504.0	1234.0	459.0	301.0	728.0
MAG067	114.0	124.0	136.0	50.0	80.0	98.0	0.0	0.0	0.0
MAG068	519.0	527.0	438.0	94.0	188.0	131.0	6.0	12.0	18.0
MAG069	138.0	146.0	160.0	67.0	100.0	95.0	284.0	155.0	235.0
MAG070	602.0	621.0	557.0	5064.0	4888.0	4502.0	7147.0	4672.0	14040.0
MAG071	26.0	23.0	28.0	10.0	8.0	20.0	14.0	8.0	2.0
MAG072	11.0	15.0	18.0	4.0	15.0	8.0	0.0	0.0	0.0
MAG073	1757.0	1774.0	1533.0	5128.0	5966.0	5638.0	5466.0	4542.0	14177.0
MAG074	12.0	2.0	0.0	0.0	0.0	0.0	21390.0	15675.0	78533.0
MAG075	0.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0
MAG076	4.0	6.0	4.0	44.0	82.0	44.0	2276.0	1180.0	1322.0
MAG077	122.0	186.0	166.0	28.0	28.0	24.0	0.0	0.0	0.0
MAG079	4.0	4.0	0.0	274.0	326.0	284.0	188.0	100.0	140.0
MAG080	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
MAG082	2.0	6.0	4.0	2.0	2.0	10.0	7.0	2.0	9.0
MAG083	16.0	19.0	23.0	60.0	58.0	40.0	12.0	4.0	4.0
MAG084	31.0	18.0	31.0	44.0	64.0	58.0	8.0	12.0	22.0
MAG085	244.0	216.0	216.0	10.0	14.0	8.0	28.0	10.0	24.0
MAG086	65.0	66.0	94.0	164.0	221.0	164.0	22.0	15.0	97.0
MAG087	0.0	2.0	0.0	10.0	26.0	18.0	2.0	2.0	6.0
MAG088	119939.0	110129.0	103813.0	2764.0	3018.0	2816.0	1409.0	837.0	1167.0
MAG089	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
MAG090	1289.0	1339.0	1292.0	233.0	370.0	230.0	13.0	17.0	30.0
MAG091	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0
MAG092	255.0	273.0	248.0	1186.0	1266.0	1157.0	89.0	40.0	34.0
MAG093	484.0	481.0	656.0	241.0	172.0	207.0	57.0	19.0	64.0
MAG094	22.0	26.0	26.0	1806.0	2112.0	1952.0	414.0	192.0	934.0
MAG096	0.0	2.0	0.0	0.0	0.0	0.0	874.0	536.0	1709.0
MAG097	39098.0	44972.0	41704.0	47360.0	54782.0	57822.0	2840.0	1720.0	6264.0
MAG098	31.0	28.0	16.0	74.0	34.0	48.0	398.0	261.0	574.0
MAG099	1015.0	1010.0	922.0	1509.0	2029.0	1780.0	62.0	51.0	169.0
MAG100	26.0	31.0	18.0	4.0	4.0	0.0	0.0	0.0	6.0
MAG101	0.0	0.0	0.0	0.0	0.0	2.0	884.0	368.0	1180.0
MAG102	370.0	372.0	363.0	24862.0	34080.0	29186.0	85682.0	86412.0	105518.0
