qseqid	sseqid	pident	evalue	qcovhsp	bitscore	staxid	ssciname	stitle	superkingdom	phylum	class	order	family	genus	species	strain
Capt_00867	gi|740196747|ref|WP_038038706.1|	60.000	1.13e-81	99	250	1382356	Thermorudis peleae	recombination protein RecR [Thermorudis peleae]	Bacteria	Chloroflexi	Thermomicrobia			Thermorudis	Thermorudis peleae	
Capt_00867	gi|1316556385|ref|WP_101298555.1|	56.716	4.51e-79	100	243	1677857	Hungateiclostridium saccincola	recombination protein RecR [Hungateiclostridium saccincola]	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Hungateiclostridium	Hungateiclostridium saccincola	
Capt_00867	gi|1705175632|ref|WP_142536762.1|	54.726	6.27e-79	100	243	2518162	Peptostreptococcaceae bacterium ZHW00191	recombination protein RecR [Peptostreptococcaceae bacterium ZHW00191]	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		Peptostreptococcaceae bacterium ZHW00191	
Capt_00867	gi|503545744|ref|WP_013779820.1|	56.219	1.06e-78	100	243	252966	Mahella australiensis	recombination protein RecR [Mahella australiensis]	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacterales Family IV. Incertae Sedis	Mahella	Mahella australiensis	
Capt_00867	gi|1341825060|ref|WP_103896506.1|	55.224	3.98e-78	100	241	29344	Caloramator fervidus	recombination protein RecR [Caloramator fervidus]	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Caloramator	Caloramator fervidus	
Capt_00868	gi|1575445519|ref|WP_129893295.1|	35.938	4.33e-143	95	449	2509675	Ktedonobacterales bacterium SCAWS-G2	hypothetical protein [Ktedonobacterales bacterium SCAWS-G2]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales			Ktedonobacterales bacterium SCAWS-G2	
Capt_00868	gi|1407841548|ref|WP_111317492.1|	33.984	3.55e-135	95	428	644383	Thermosporothrix hazakensis	hypothetical protein [Thermosporothrix hazakensis]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Thermosporotrichaceae	Thermosporothrix	Thermosporothrix hazakensis	
Capt_00868	gi|1424145084|ref|WP_112433409.1|	38.184	4.85e-133	91	422	1825093	Thermogemmatispora tikiterensis	hypothetical protein [Thermogemmatispora tikiterensis]	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	Thermogemmatispora tikiterensis	
Capt_00868	gi|1224867274|ref|WP_092883614.1|	37.185	2.88e-130	94	414	504797	Actinopolymorpha cephalotaxi	hypothetical protein [Actinopolymorpha cephalotaxi]	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Nocardioidaceae	Actinopolymorpha	Actinopolymorpha cephalotaxi	
Capt_00868	gi|919591973|ref|WP_052889726.1|	36.431	1.10e-129	99	414	1382306	Thermogemmatispora carboxidivorans	hypothetical protein [Thermogemmatispora carboxidivorans]	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	Thermogemmatispora	Thermogemmatispora carboxidivorans	
Capt_00870	gi|495182530|ref|WP_007907320.1|	73.675	0.0	99	866	363277	Ktedonobacter racemifer	dihydroxy-acid dehydratase [Ktedonobacter racemifer]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	Ktedonobacter	Ktedonobacter racemifer	
Capt_00870	gi|1575444888|ref|WP_129892678.1|	73.488	0.0	99	865	2509675	Ktedonobacterales bacterium SCAWS-G2	dihydroxy-acid dehydratase [Ktedonobacterales bacterium SCAWS-G2]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales			Ktedonobacterales bacterium SCAWS-G2	
Capt_00870	gi|1407849171|ref|WP_111324569.1|	73.827	0.0	98	858	644383	Thermosporothrix hazakensis	dihydroxy-acid dehydratase [Thermosporothrix hazakensis]	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Thermosporotrichaceae	Thermosporothrix	Thermosporothrix hazakensis	
