gene	subject_name	sseqid	whole_genome_used
bchL	Afifella_marina_DSM_2698	WP_092814956.1	yes
bchB	Afifella_marina_DSM_2698	WP_092814950.1	yes
bchN	Afifella_marina_DSM_2698	WP_092814947.1	yes
bchL	Allochromatium_vinosum_DSM_180	WP_012971816.1	yes
bchB	Allochromatium_vinosum_DSM_180	WP_012971818.1	yes
bchN	Allochromatium_vinosum_DSM_180	WP_012971819.1	yes
bchL	Anabaena_cylindrica_PCC_7122	WP_015216056.1	yes
bchB	Anabaena_cylindrica_PCC_7122	WP_015217008.1	yes
bchN	Anabaena_cylindrica_PCC_7122	WP_015216054.1	yes
bchL	Aquidulcibacter_paucihalophilus_TH1-2	WP_085341015.1	yes
bchB	Aquidulcibacter_paucihalophilus_TH1-2	WP_085340895.1	yes
bchN	Aquidulcibacter_paucihalophilus_TH1-2	WP_085340896.1	yes
bchL	Blastochloris_viridis_ATCC_19567	WP_055036339.1	yes
bchB	Blastochloris_viridis_ATCC_19567	WP_055036337.1	yes
bchN	Blastochloris_viridis_ATCC_19567	WP_055036336.1	yes
bchL	Ca_Chlorobium_phaeoferrooxidans_KB01	WP_006366588.1	yes
bchB	Ca_Chlorobium_phaeoferrooxidans_KB01	WP_076793036.1	yes
bchN	Ca_Chlorobium_phaeoferrooxidans_KB01	WP_076793034.1	yes
bchL	Ca_Chloroheliaceae_bin_L227_5C	NWJ94752.1	yes
bchB	Ca_Chloroheliaceae_bin_L227_5C	NWJ94751.1	yes
bchN	Ca_Chloroheliaceae_bin_L227_5C	NWJ94750.1	yes
bchL	Ca_Chloroploca_asiatica_B7-9	WP_097655344.1	yes
bchB	Ca_Chloroploca_asiatica_B7-9	WP_097655346.1	yes
bchN	Ca_Chloroploca_asiatica_B7-9	WP_097655347.1	yes
bchL	Ca_Chx_allophototropha_L227-S17	NWJ46336.1	yes
bchB	Ca_Chx_allophototropha_L227-S17	NWJ46337.1	yes
bchN	Ca_Chx_allophototropha_L227-S17	NWJ46338.1	yes
bchL	Ca_Eremiobacterota_bin_bog_1501	PLBH01000141.1_7	yes
bchB	Ca_Eremiobacterota_bin_bog_1501	PLBH01000141.1_5	yes
bchN	Ca_Eremiobacterota_bin_bog_1501	PLBH01000141.1_6	yes
bchL	Ca_Eremiobacterota_bin_bog_1519	PMGA01000144.1_6	yes
bchB	Ca_Eremiobacterota_bin_bog_1519	PMGA01000144.1_4	yes
bchN	Ca_Eremiobacterota_bin_bog_1519	PMGA01000144.1_5	yes
bchL	Ca_Eremiobacterota_bin_bog_1520	PMFP01000038.1_4	yes
bchB	Ca_Eremiobacterota_bin_bog_1520	PMFP01000038.1_6	yes
bchN	Ca_Eremiobacterota_bin_bog_1520	PMFP01000038.1_5	yes
bchL	Ca_Eremiobacterota_bin_bog_1527	PLRO01000146.1_4	yes
bchB	Ca_Eremiobacterota_bin_bog_1527	PLRO01000146.1_6	yes
bchN	Ca_Eremiobacterota_bin_bog_1527	PLRO01000146.1_5	yes
bchL	Ca_Oscillochloris_fontis_Chuk17	WP_129627977.1	yes
bchB	Ca_Oscillochloris_fontis_Chuk17	WP_129627979.1	yes
bchN	Ca_Oscillochloris_fontis_Chuk17	WP_129627981.1	yes
bchL	Ca_Thermochlorobacter_aerophilum_OS	RFM23834.1	yes
bchB	Ca_Thermochlorobacter_aerophilum_OS	RFM25127.1	yes
bchN	Ca_Thermochlorobacter_aerophilum_OS	RFM23832.1	yes
bchL	Ca_Viridilinea_halotolerans_Chok-6	RRR66914.1	yes
bchB	Ca_Viridilinea_halotolerans_Chok-6	RRR71476.1	yes
bchN	Ca_Viridilinea_halotolerans_Chok-6	RRR71475.1	yes
bchL	Ca_Viridilinea_mediisalina_Kir15-3F	WP_097645941.1	yes
bchB	Ca_Viridilinea_mediisalina_Kir15-3F	WP_097644179.1	yes
bchN	Ca_Viridilinea_mediisalina_Kir15-3F	WP_097644180.1	yes
bchL	Chloracidobacterium_sp_CP2_5A	OYT71911.1	yes
bchB	Chloracidobacterium_sp_CP2_5A	OYT70592.1	yes
bchN	Chloracidobacterium_sp_CP2_5A	OYT70591.1	yes
bchL	Chloracidobacterium_thermophilum_B	WP_014100822.1	yes
bchB	Chloracidobacterium_thermophilum_B	WP_041569094.1	yes
bchN	Chloracidobacterium_thermophilum_B	WP_014099537.1	yes
bchL	Chloracidobacterium_thermophilum_OC1	WP_058865978.1	yes
bchB	Chloracidobacterium_thermophilum_OC1	WP_058867307.1	yes
bchN	Chloracidobacterium_thermophilum_OC1	WP_063896981.1	yes
bchL	Chloranaerofilum_corporosum_YNP-MS-B-OTU-15	fig|6666666.236756.peg.548	yes
bchB	Chloranaerofilum_corporosum_YNP-MS-B-OTU-15	fig|6666666.236756.peg.546	yes
bchN	Chloranaerofilum_corporosum_YNP-MS-B-OTU-15	fig|6666666.236756.peg.545	yes
bchL	Chlorobaculum_limnaeum_DSM_1677	WP_069810973.1	yes
bchB	Chlorobaculum_limnaeum_DSM_1677	WP_069810974.1	yes
bchN	Chlorobaculum_limnaeum_DSM_1677	WP_069810975.1	yes
bchL	Chlorobaculum_parvum_NCIB_8327	WP_012501482.1	yes
bchB	Chlorobaculum_parvum_NCIB_8327	WP_012501481.1	yes
bchN	Chlorobaculum_parvum_NCIB_8327	WP_012501480.1	yes
bchL	Chlorobaculum_tepidum_TLS	NP_663024.1	yes
bchB	Chlorobaculum_tepidum_TLS	NP_663025.1	yes
bchN	Chlorobaculum_tepidum_TLS	NP_663026.1	yes
bchL	Chlorobium_chlorochromatii_CaD3	WP_011362826.1	yes
bchB	Chlorobium_chlorochromatii_CaD3	WP_011362827.1	yes
bchN	Chlorobium_chlorochromatii_CaD3	WP_011362828.1	yes
bchL	Chlorobium_limicola_DSM_245	WP_012467084.1	yes
bchB	Chlorobium_limicola_DSM_245	WP_012467085.1	yes
bchN	Chlorobium_limicola_DSM_245	WP_012467086.1	yes
bchL	Chlorobium_luteolum_DSM_273	WP_011356980.1	yes
bchB	Chlorobium_luteolum_DSM_273	WP_011356979.1	yes
bchN	Chlorobium_luteolum_DSM_273	WP_011356978.1	yes
bchL	Chlorobium_phaeobacteroides_BS1	WP_012475625.1	yes
bchB	Chlorobium_phaeobacteroides_BS1	WP_012475626.1	yes
bchN	Chlorobium_phaeobacteroides_BS1	WP_012475627.1	yes
bchL	Chlorobium_phaeobacteroides_DSM_266	WP_011746157.1	yes
bchB	Chlorobium_phaeobacteroides_DSM_266	WP_011746158.1	yes
bchN	Chlorobium_phaeobacteroides_DSM_266	WP_011746159.1	yes
bchL	Chlorobium_phaeoclathratiforme_BU-1	WP_012507154.1	yes
bchB	Chlorobium_phaeoclathratiforme_BU-1	WP_012507153.1	yes
bchN	Chlorobium_phaeoclathratiforme_BU-1	WP_012507152.1	yes
bchL	Chlorobium_phaeovibrioides_DSM_265	WP_011889534.1	yes
bchB	Chlorobium_phaeovibrioides_DSM_265	WP_011889533.1	yes
bchN	Chlorobium_phaeovibrioides_DSM_265	WP_011889532.1	yes
bchL	Chloroflexus_aggregans_DSM_9485	WP_015942165.1	yes
bchB	Chloroflexus_aggregans_DSM_9485	WP_015942167.1	yes
bchN	Chloroflexus_aggregans_DSM_9485	WP_015942168.1	yes
bchL	Chloroflexus_aurantiacus_J-10-fl	YP_001636149.1	yes
bchB	Chloroflexus_aurantiacus_J-10-fl	YP_001636151.1	yes
bchN	Chloroflexus_aurantiacus_J-10-fl	YP_001636152.1	yes
bchL	Chloroflexus_islandicus_isl-2	WP_066789072.1	yes
bchB	Chloroflexus_islandicus_isl-2	WP_066789079.1	yes
bchN	Chloroflexus_islandicus_isl-2	WP_066789089.1	yes
bchL	Chloroflexus_sp_MS-G	WP_031461186.1	yes
bchB	Chloroflexus_sp_MS-G	WP_031461184.1	yes
bchN	Chloroflexus_sp_MS-G	WP_031461183.1	yes
bchL	Chloroflexus_sp_Y-396-1	WP_028459736.1	yes
bchB	Chloroflexus_sp_Y-396-1	WP_028459738.1	yes
bchN	Chloroflexus_sp_Y-396-1	WP_028459739.1	yes
bchL	Chloroherpeton_thalassium_ATCC_35110	WP_012499918.1	yes
bchB	Chloroherpeton_thalassium_ATCC_35110	WP_012499919.1	yes
bchN	Chloroherpeton_thalassium_ATCC_35110	WP_012499920.1	yes
bchL	Chlorothrix_halophila	HHOIAMFO_02263	yes
bchB	Chlorothrix_halophila	HHOIAMFO_02264	yes
bchN	Chlorothrix_halophila	HHOIAMFO_02265	yes
bchL	Chroococcidiopsis_thermalis_PCC_7203	WP_015156454.1	yes
bchB	Chroococcidiopsis_thermalis_PCC_7203	WP_015152349.1	yes
bchN	Chroococcidiopsis_thermalis_PCC_7203	WP_015156456.1	yes
bchL	Congregibacter_litoralis_KT71	WP_008296315.1	yes
bchB	Congregibacter_litoralis_KT71	WP_008296313.1	yes
bchN	Congregibacter_litoralis_KT71	WP_008296312.1	yes
bchL	Cyanobacterium_stanieri_PCC_7202	WP_015222314.1	yes
bchB	Cyanobacterium_stanieri_PCC_7202	WP_015221912.1	yes
bchN	Cyanobacterium_stanieri_PCC_7202	WP_015222315.1	yes
bchL	Cyanobium_gracile_PCC_6307	WP_015107703.1	yes
bchB	Cyanobium_gracile_PCC_6307	WP_015107702.1	yes
bchN	Cyanobium_gracile_PCC_6307	WP_051016971.1	yes
bchL	Dactylococcopsis_salina_PCC_8305	WP_071880293.1	yes
bchB	Dactylococcopsis_salina_PCC_8305	WP_015229485.1	yes
bchN	Dactylococcopsis_salina_PCC_8305	WP_015228896.1	yes
bchL	Erythrobacter_longus_DSM_6997	WP_034959622.1	yes
bchB	Erythrobacter_longus_DSM_6997	WP_034959625.1	yes
bchN	Erythrobacter_longus_DSM_6997	WP_034959626.1	yes
bchL	Fischerella_thermalis_PCC_7521	WP_009460143.1	yes
bchB	Fischerella_thermalis_PCC_7521	WP_016870696.1	yes
bchN	Fischerella_thermalis_PCC_7521	WP_009460145.1	yes
bchL	Fortiea_contorta_PCC_7126	WP_017651639.1	yes
bchB	Fortiea_contorta_PCC_7126	WP_017655797.1	yes
bchN	Fortiea_contorta_PCC_7126	WP_017651637.1	yes
bchL	Fulvimarina_pelagi_HTCC2506	WP_007067496.1	yes
bchB	Fulvimarina_pelagi_HTCC2506	WP_007067498.1	yes
bchN	Fulvimarina_pelagi_HTCC2506	WP_007067499.1	yes
bchL	Gemmatimonas_phototrophica_AP64	WP_026850318.1	yes
bchB	Gemmatimonas_phototrophica_AP64	WP_026850316.1	yes
bchN	Gemmatimonas_phototrophica_AP64	WP_026850315.1	yes
bchL	Gloeobacter_kilaueensis_JS1	WP_023175510.1	yes
bchB	Gloeobacter_kilaueensis_JS1	WP_023172462.1	yes
bchN	Gloeobacter_kilaueensis_JS1	WP_023175508.1	yes
bchL	Gloeobacter_violaceus_PCC_7421	NP_925316.1	yes
bchB	Gloeobacter_violaceus_PCC_7421	NP_923161.1	yes
bchN	Gloeobacter_violaceus_PCC_7421	NP_925315.1	yes
