subject_name	sseqid
Ca_Chlorobium_phaeoferrooxidans_KB01	WP_006366194.1
Ca_Chloroheliaceae_bin_L227_5C	NWJ94304.1
Ca_Chx_allophototropha_L227-S17	NWJ48165.1
Ca_Thermochlorobacter_aerophilum_OS	RFM23764.1
Ca_Thermochlorobacteriaceae_bin_GBChlB	WP_035399753.1
Chloracidobacterium_sp_CP2_5A	OYT70533.1
Chloracidobacterium_thermophilum_B	WP_014100661.1
Chloracidobacterium_thermophilum_OC1	WP_058867937.1
Chlorobaculum_limnaeum_DSM_1677	WP_069808958.1
Chlorobaculum_parvum_NCIB_8327	WP_012502817.1
Chlorobaculum_tepidum_TLS	NP_662384.1
Chlorobium_bin_445	PIO47970.1
Chlorobium_chlorochromatii_CaD3	WP_011362353.1
Chlorobium_ferrooxidans_DSM_13031	WP_006366194.1
Chlorobium_limicola_DSM_245	WP_012466619.1
Chlorobium_limicola_Frasassi	WP_012466619.1
Chlorobium_luteolum_CIII	KZK74002.1
Chlorobium_luteolum_DSM_273	WP_011358231.1
Chlorobium_phaeobacteroides_BS1	WP_012474280.1
Chlorobium_phaeobacteroides_DSM_266	WP_011745711.1
Chlorobium_phaeoclathratiforme_BU-1	WP_012507834.1
Chlorobium_phaeovibrioides_DSM_265	WP_011890560.1
Chlorobium_phaeovibrioides_GrTcv12	WP_011890560.1
Chlorobium_phaeovibrioides_PhvTcv-s14	WP_011890560.1
Chloroherpeton_thalassium_ATCC_35110	WP_012499263.1
Prosthecochloris_aestuarii_DSM_271	WP_012506146.1
Prosthecochloris_marina_V1	WP_110023260.1
Prosthecochloris_sp_CIB_2401	WP_068866593.1
Prosthecochloris_sp_GSB1	WP_094082125.1
Prosthecochloris_sp_HL-130-GSB	WP_085659296.1
