user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	aa_percent	translation_table	red_value	warnings
MAG168	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__UBA7399;s__UBA7399 sp002470125	GCA_002470125.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__UBA7399;s__UBA7399 sp002470125	98.77	0.91	GCA_002470125.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__UBA7399;s__UBA7399 sp002470125	98.77	0.91	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Gallionellaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	93.95	11	N/A	N/A
MAG117	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__Planktophila sp000378885	GCA_000378885.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__Planktophila sp000378885	97.19	0.84	GCA_000378885.1	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__Planktophila sp000378885	97.19	0.84	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Planktophila;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_002284895.1, s__Planktophila sp002284895, 95.0, 89.79, 0.9; GCF_002288185.1, s__Planktophila vernalis, 95.0, 87.39, 0.86; GCF_002288105.1, s__Planktophila versatilis, 95.0, 78.48, 0.19; GCA_001438925.1, s__Planktophila sp001438925, 95.0, 78.31, 0.31; GCF_002288225.1, s__Planktophila dulcis, 95.0, 78.24, 0.24; GCF_002288365.1, s__Planktophila limnetica, 95.0, 77.97, 0.27; GCF_002284855.1, s__Planktophila sp002284855, 95.0, 77.94, 0.21; GCF_002287925.1, s__Planktophila lacus, 95.0, 77.62, 0.25; GCF_002284875.1, s__Planktophila sp002284875, 95.0, 77.61, 0.22; GCF_002288065.1, s__Planktophila sulfonica, 95.0, 77.56, 0.25; GCA_000372185.1, s__Planktophila sp000372185, 95.0, 77.3, 0.17	68.17	11	N/A	N/A
MAG634	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp000378865	GCA_000378865.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp000378865	98.16	0.72	GCA_000378865.1	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__Nanopelagicus sp000378865	98.16	0.72	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__Nanopelagicus;s__	ANI/Placement	topological placement and ANI have congruent species assignments	GCF_002288305.1, s__Nanopelagicus abundans, 95.0, 81.0, 0.63; GCA_000383815.1, s__Nanopelagicus sp000383815, 95.0, 80.99, 0.48; GCF_002287885.2, s__Nanopelagicus limnes, 95.0, 80.98, 0.6; GCF_002288005.1, s__Nanopelagicus hibericus, 95.0, 80.52, 0.58; GCA_000294575.1, s__Nanopelagicus sp000294575, 95.0, 80.18, 0.44; GCA_001437855.1, s__Nanopelagicus sp001437855, 95.0, 79.94, 0.42	82.9	11	N/A	N/A
MAG608	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__UKL13-PB;s__UKL13-PB sp001593825	GCA_001593825.1	95.0	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__UKL13-PB;s__UKL13-PB sp001593825	97.74	0.86	GCA_001593825.1	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__UKL13-PB;s__UKL13-PB sp001593825	97.74	0.86	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	93.91	11	N/A	N/A
MAG309	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__UBA7398;s__UBA7398 sp002470135	GCA_002470135.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__UBA7398;s__UBA7398 sp002470135	99.4	0.9	GCA_002470135.1	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__UBA7398;s__UBA7398 sp002470135	99.4	0.9	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	92.0	11	N/A	N/A
MAG094	d__Bacteria;p__Chloroflexota;c__UBA2235;o__UBA12225;f__UBA12225;g__UBA12225;s__UBA12225 sp002347925	GCA_002347925.1	95.0	d__Bacteria;p__Chloroflexota;c__UBA2235;o__UBA12225;f__UBA12225;g__UBA12225;s__UBA12225 sp002347925	96.82	0.87	GCA_002347925.1	d__Bacteria;p__Chloroflexota;c__UBA2235;o__UBA12225;f__UBA12225;g__UBA12225;s__UBA12225 sp002347925	96.82	0.87	d__Bacteria;p__Chloroflexota;c__;o__;f__;g__;s__	ANI/Placement	topological placement and ANI have congruent species assignments	N/A	93.83	11	N/A	N/A
MAG548	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__UBA1447;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	75.32	11	0.902943417783	N/A
MAG727	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__Christensenellaceae;g__;s__	Placement	taxonomic classification fully defined by topology	N/A	51.9	11	0.800058638747	N/A
MAG076	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Firm-13;s__	N/A	N/A	N/A	N/A	N/A	GCA_002418705.1	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Firm-13;s__Firm-13 sp002418705	78.48	0.28	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Saccharofermentanales;f__Saccharofermentanaceae;g__Firm-13;s__	Placement	taxonomic classification fully defined by topology	N/A	96.51	11	0.945012896415	N/A
MAG710	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	95.28	11	0.649329997602	Genome has more than 10.8% of markers with multiple hits
MAG502	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Acetivibrionales;f__;g__;s__	Placement	taxonomic novelty determined using RED	N/A	88.87	11	0.645372890875	N/A
MAG049	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA5774;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__;s__	Placement	taxonomic novelty determined using RED	N/A	98.12	11	0.923980432211	N/A
